Sport,Param1,Param2,Param3,LastParam
Archery,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Artistic Swimming,-0.16788672,-0.23467368,-0.31962638,-0.31698832922366166
Athletics,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Badminton,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Baseball,0.0369977,0.19098288,-0.01120494,-0.8405114739419501
Basketball,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Beach Volleyball,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Boxing,0.41968568,0.2509377,-0.0108679,-1.3786525031413157
Breaking,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Canoeing,-0.01410912,-0.01518929,-0.04184333,-0.23570359048818537
Cycling,-0.01869404,-0.01986127,-0.06167529,-0.23715731344049293
Cycling BMX Freestyle,-0.08229358,-0.15726371,-0.35275805,0.4822775538069477
Cycling BMX Racing,0.64241673,0.4163476,-0.43794528,0.31715780641498226
Cycling Mountain Bike,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Cycling Road,0.20334862,0.08770434,-0.42722342,0.0021694230709936625
Cycling Track,-0.25330552,-0.09711013,-0.46074429,0.2593809560891545
Diving,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Equestrian,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Fencing,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Football,-0.03518133,-0.0376695,-0.20268571,-0.5023035348975492
Golf,-0.06927965,0.04416834,-0.46371043,0.4252808349080393
Gymnastics,-0.01178604,-0.01507143,-0.06804703,-0.3007623870626873
Handball,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Hockey,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Judo,0.33279946,0.22689651,-0.01111894,-0.7253011752339006
Karate,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Marathon Swimming,1.20634188,0.85449523,-0.36629711,-0.4807824711074034
Modern Pentathlon,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Rowing,0.05291384,0.03006501,0.00036111,-0.8722316632097261
Rugby,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Sailing,-0.02455832,-0.0240404,-0.02711232,-0.23178469774447422
Shooting,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Skateboarding,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Softball,0.39023643,0.2542684,-0.00536742,-1.052250114507012
Sport Climbing,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Surfing,-0.14844948,-0.15536052,-0.41665359,0.5895969106793398
Swimming,0.32729058,0.15024412,-0.00861308,-0.7623931946937944
Synchronized Swimming,0.36346836,0.29700153,-0.02208884,-0.7542471227471723
Table Tennis,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Taekwondo,0.40550941,0.28538008,-0.02219506,-0.9266648643859586
Tennis,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Triathlon,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Volleyball,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Water Polo,-0.01619076,-0.0155581,-0.04892186,-0.14148345211717722
Weightlifting,0.17563347,0.1278489,-0.00090685,-0.8733323005544038
Wrestling,0.4955919,0.22301435,-0.02329376,-0.8004182925866155
