Name,Sport,Event,NOC,Year,Medal,Division
A Dijiang,Basketball,Basketball Men's Basketball,CHN,1992,No medal,12
A. Mayavo,Hockey,Hockey Men's Hockey,MAS,1992,No medal,16
Aadjijatmiko H.,Badminton,Badminton Women's Doubles,INA,1992,No medal,2
Aafke Hament,Volleyball,Volleyball Women's Volleyball,NED,1992,No medal,11
Aaron Pollock,Rowing,Rowing Men's Coxed Pairs,USA,1992,No medal,1
Aaron Ramirez,Athletics,"Athletics Men's 10,000 metres",USA,1992,No medal,1
Abbas Talebi,Weightlifting,Weightlifting Men's Middleweight,IRI,1992,No medal,1
Abdallah Juma,Weightlifting,Weightlifting Men's Featherweight,KEN,1992,No medal,1
Abdel El-aouad,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",MAR,1992,No medal,1
Abdel El-hadrioui,Football,Football Men's Football,MAR,1992,No medal,16
Abdel El-yazi,Hockey,Hockey Men's Hockey,EGY,1992,No medal,16
Abdel Guriguer,Athletics,Athletics Men's 4 x 400 metres Relay,MAR,1992,No medal,4
Abdel Harkat,Judo,Judo Men's Half-Lightweight,ALG,1992,No medal,1
Abdel Kasbane,Athletics,Athletics Men's 4 x 400 metres Relay,MAR,1992,No medal,4
Abdel Klouchi,Athletics,Athletics Men's Long Jump,ALG,1992,No medal,1
Abdel Yahiaoui,Weightlifting,Weightlifting Men's Lightweight,ALG,1992,No medal,1
Abdelghani Yalouz,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",FRA,1992,No medal,1
Abdelhadi Legdali,Table Tennis,Table Tennis Men's Singles,MAR,1992,No medal,1
Abdelkader Wahabi,Boxing,Boxing Men's Light-Welterweight,BEL,1992,No medal,1
Abdellah Taouane,Boxing,Boxing Men's Welterweight,MAR,1992,No medal,1
Abderrahman Naanaa,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",MAR,1992,No medal,1
Abderzak Bella,Swimming,Swimming Men's 100 metres Breaststroke,ALG,1992,No medal,1
Abderzak Bella,Swimming,Swimming Men's 200 metres Breaststroke,ALG,1992,No medal,1
Abdollah Chamangoli,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",IRI,1992,No medal,1
Abdollah Rika,Weightlifting,Weightlifting Men's Heavyweight I,IRI,1992,No medal,1
Abdou Manzo,Athletics,Athletics Men's Marathon,NIG,1992,No medal,1
Abdul Al-obaidly,Football,Football Men's Football,QAT,1992,No medal,17
Abdul Al-yoha,Athletics,Athletics Men's Triple Jump,KUW,1992,No medal,1
Abdul Dabo,Judo,Judo Men's Half-Middleweight,MLI,1992,No medal,1
Abdul Jalouf,Football,Football Men's Football,QAT,1992,No medal,17
Abdul Karim,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",INA,1992,No medal,2
Abdul Karim,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",INA,1992,No medal,2
Abdul Khan,Badminton,Badminton Men's Doubles,SGP,1992,No medal,2
Abdul Khan,Badminton,Badminton Men's Singles,SGP,1992,No medal,1
Abdul Razak,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",INA,1992,No medal,2
Abdul Razak,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",INA,1992,No medal,2
Abdulieh Janneh,Athletics,Athletics Men's 100 metres,GAM,1992,No medal,1
Abdulieh Janneh,Athletics,Athletics Men's 4 x 100 metres Relay,GAM,1992,No medal,4
Abdullah Al-abdullah,Football,Football Men's Football,QAT,1992,No medal,17
Abdullah Al-anbari,Athletics,Athletics Men's 800 metres,OMA,1992,No medal,1
Abdullah Al-dosari,Athletics,"Athletics Men's 10,000 metres",BRN,1992,No medal,1
Abdullah Al-dosari,Athletics,"Athletics Men's 5,000 metres",BRN,1992,No medal,1
Abdullah Al-khalidi,Athletics,Athletics Men's 200 metres,OMA,1992,No medal,1
Abdullah Al-sheib,Athletics,Athletics Men's High Jump,QAT,1992,No medal,1
Abdullah Al-sheib,Athletics,Athletics Men's Long Jump,QAT,1992,No medal,1
Abdullah Ghulam,Athletics,Athletics Men's 400 metres Hurdles,UAE,1992,No medal,1
Abdullah Saihan,Football,Football Men's Football,KUW,1992,No medal,19
Abdullah Sultan,Swimming,Swimming Men's 100 metres Backstroke,UAE,1992,No medal,1
Abdullah Sultan,Swimming,Swimming Men's 200 metres Backstroke,UAE,1992,No medal,1
Abdullah Sultan,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,UAE,1992,No medal,4
Abdullah Sultan,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,UAE,1992,No medal,4
Abebe Mekonnen,Athletics,Athletics Men's Marathon,ETH,1992,No medal,1
Abednego Matilu,Athletics,Athletics Men's 4 x 400 metres Relay,KEN,1992,No medal,5
Abel Bios,Volleyball,Volleyball Men's Volleyball,CUB,1992,No medal,12
Abel Mokibe,Athletics,Athletics Men's Marathon,RSA,1992,No medal,1
Abel Nzimande,Athletics,Athletics Men's 200 metres,RSA,1992,No medal,1
Abel Rodrigo,Athletics,"Athletics Men's 5,000 metres",ESP,1992,No medal,1
Abelardo Antua,Football,Football Men's Football,ESP,1992,Gold,17
Abha Dhillan,Shooting,"Shooting Women's Air Pistol, 10 metres",IND,1992,No medal,1
Abimael Marrero,Baseball,Baseball Men's Baseball,PUR,1992,No medal,1
Abiola Odumosu,Table Tennis,Table Tennis Women's Doubles,NGR,1992,No medal,2
Abiola Odumosu,Table Tennis,Table Tennis Women's Singles,NGR,1992,No medal,1
Abram Thwala,Boxing,Boxing Men's Light-Flyweight,RSA,1992,No medal,1
Abrar Syed,Boxing,Boxing Men's Light-Middleweight,PAK,1992,No medal,1
Adam Clawson,Canoeing,"Canoeing Men's Canadian Singles, Slalom",USA,1992,No medal,1
Adam Kaczmarek,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",POL,1992,No medal,1
Adam Krzesiski,Fencing,"Fencing Men's Foil, Individual",POL,1992,No medal,1
Adam Krzesiski,Fencing,"Fencing Men's Foil, Team",POL,1992,Bronze,5
Adam Ruckwood,Swimming,Swimming Men's 100 metres Backstroke,GBR,1992,No medal,1
Adam Ruckwood,Swimming,Swimming Men's 200 metres Backstroke,GBR,1992,No medal,1
Adam Sakak,Athletics,Athletics Men's 100 metres,SUD,1992,No medal,1
Adam Sakak,Athletics,Athletics Men's 200 metres,SUD,1992,No medal,1
Addis Abebe,Athletics,"Athletics Men's 10,000 metres",ETH,1992,Bronze,1
Addis Abebe,Athletics,"Athletics Men's 5,000 metres",ETH,1992,No medal,1
Addis Gezahegn,Athletics,Athletics Women's Marathon,ETH,1992,No medal,1
Addo Ndala,Athletics,Athletics Women's 400 metres Hurdles,CGO,1992,No medal,1
Addy Bucek,Sailing,Sailing Women's Two Person Dinghy,AUS,1992,No medal,1
Adel Al-mulla,Football,Football Men's Football,QAT,1992,No medal,17
Adel El-sharkawy,Handball,Handball Men's Handball,EGY,1992,No medal,14
Adel Sennoun,Volleyball,Volleyball Men's Volleyball,ALG,1992,No medal,10
Ademar Kammler,Athletics,Athletics Men's 20 kilometres Walk,BRA,1992,No medal,1
Adilson Silva,Boxing,Boxing Men's Lightweight,BRA,1992,No medal,1
Adler Capelli,Cycling,"Cycling Men's 1,000 metres Time Trial",ITA,1992,No medal,1
Adolfo Plaza,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",ESP,1992,No medal,1
Adolfo Plaza,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",ESP,1992,No medal,4
Adrian Breton,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",GBR,1992,No medal,1
Adrian Carew-dodson,Boxing,Boxing Men's Welterweight,GBR,1992,No medal,1
Adrian Croitoru,Judo,Judo Men's Middleweight,ROU,1992,No medal,1
Adrian Ellison,Rowing,Rowing Men's Coxed Eights,GBR,1992,No medal,9
Adrian Moorhouse,Swimming,Swimming Men's 100 metres Breaststroke,GBR,1992,No medal,1
Adrian Pop,Fencing,"Fencing Men's epee, Individual",ROU,1992,No medal,1
Adrian Pop,Fencing,"Fencing Men's epee, Team",ROU,1992,No medal,5
Adrian Popovici,Handball,Handball Men's Handball,ROU,1992,No medal,15
Adrian Romero,Swimming,Swimming Men's 100 metres Freestyle,GUM,1992,No medal,1
Adrian Romero,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,GUM,1992,No medal,4
Adrian Romero,Swimming,Swimming Men's 4 x 100 metres Medley Relay,GUM,1992,No medal,4
Adrian Romero,Swimming,Swimming Men's 50 metres Freestyle,GUM,1992,No medal,1
Adrian Sandu,Gymnastics,Gymnastics Men's Floor Exercise,ROU,1992,No medal,1
Adrian Sandu,Gymnastics,Gymnastics Men's Horizontal Bar,ROU,1992,No medal,1
Adrian Sandu,Gymnastics,Gymnastics Men's Horse Vault,ROU,1992,No medal,1
Adrian Sandu,Gymnastics,Gymnastics Men's Individual All-Around,ROU,1992,No medal,1
Adrian Sandu,Gymnastics,Gymnastics Men's Parallel Bars,ROU,1992,No medal,1
Adrian Sandu,Gymnastics,Gymnastics Men's Pommelled Horse,ROU,1992,No medal,1
Adrian Sandu,Gymnastics,Gymnastics Men's Rings,ROU,1992,No medal,1
Adrian Sandu,Gymnastics,Gymnastics Men's Team All-Around,ROU,1992,No medal,6
Adrian Stead,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,GBR,1992,No medal,1
Adrian-Francisc Gal,Gymnastics,Gymnastics Men's Floor Exercise,ROU,1992,No medal,1
Adrian-Francisc Gal,Gymnastics,Gymnastics Men's Horizontal Bar,ROU,1992,No medal,1
Adrian-Francisc Gal,Gymnastics,Gymnastics Men's Horse Vault,ROU,1992,No medal,1
Adrian-Francisc Gal,Gymnastics,Gymnastics Men's Individual All-Around,ROU,1992,No medal,1
Adrian-Francisc Gal,Gymnastics,Gymnastics Men's Parallel Bars,ROU,1992,No medal,1
Adrian-Francisc Gal,Gymnastics,Gymnastics Men's Pommelled Horse,ROU,1992,No medal,1
Adrian-Francisc Gal,Gymnastics,Gymnastics Men's Rings,ROU,1992,No medal,1
Adrian-Francisc Gal,Gymnastics,Gymnastics Men's Team All-Around,ROU,1992,No medal,6
Adriana (-huybrehts),Archery,Archery Women's Individual,NED,1992,No medal,1
Adriana (-huybrehts),Archery,Archery Women's Team,NED,1992,No medal,3
Adriana Chamajov,Basketball,Basketball Women's Basketball,TCH,1992,No medal,12
Adriana Chelariu-bazon,Rowing,Rowing Women's Coxed Eights,ROU,1992,Silver,9
Adriana Chelariu-bazon,Rowing,Rowing Women's Coxless Fours,ROU,1992,No medal,4
Adriana Nstase-simion-zamfir,Table Tennis,Table Tennis Women's Doubles,ROU,1992,No medal,2
Adriana Plaats,Swimming,Swimming Women's 200 metres Freestyle,NED,1992,No medal,1
Adriana Plaats,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NED,1992,No medal,5
Adriana Santos,Basketball,Basketball Women's Basketball,BRA,1992,No medal,12
Adrin Carusilo,Hockey,Hockey Men's Hockey,ARG,1992,No medal,16
Afanasijs Kuzmins,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",LAT,1992,Silver,1
Afonso Ferraz,Athletics,Athletics Men's 100 metres,ANG,1992,No medal,1
Agata Jaroszek-karczmarek,Athletics,Athletics Women's Long Jump,POL,1992,No medal,1
Agatha Knaap,Badminton,Badminton Women's Singles,NED,1992,No medal,1
Agathi Kasoumi,Shooting,"Shooting Women's Air Pistol, 10 metres",GRE,1992,No medal,1
Agathi Kasoumi,Shooting,"Shooting Women's Sporting Pistol, 25 metres",GRE,1992,No medal,1
Agnese (-andrei),Athletics,Athletics Women's Discus Throw,ITA,1992,No medal,1
Agnese (rubene-),Tennis,Tennis Women's Doubles,LAT,1992,No medal,2
Agnese (rubene-),Tennis,Tennis Women's Singles,LAT,1992,No medal,1
Agneta Andersson,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",SWE,1992,Silver,2
Agneta Andersson,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",SWE,1992,Bronze,4
Agnieszka Szuchnicka,Fencing,"Fencing Women's Foil, Team",POL,1992,No medal,5
Agustin Castillo,Boxing,Boxing Men's Bantamweight,DOM,1992,No medal,1
Agustina Abi,Handball,Handball Women's Handball,NGR,1992,No medal,16
Ahad Pazach,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",IRI,1992,No medal,1
Ahad Saleh,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",IRI,1992,No medal,1
Ahmad Al-aosta,Wrestling,"Wrestling Men's Lightweight, Freestyle",SYR,1992,No medal,1
Ahmad Faraj,Swimming,Swimming Men's 100 metres Freestyle,UAE,1992,No medal,1
Ahmad Faraj,Swimming,Swimming Men's 200 metres Freestyle,UAE,1992,No medal,1
Ahmad Faraj,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,UAE,1992,No medal,4
