Name,Sport,Event,NOC,Year,Medal,Division,Strength,First Year,Age,p_max,a_max,alpha,beta,fit_loss
A Dijiang,Basketball,Basketball Men's Basketball,CHN,1992.0,No medal,12.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.0905383409647226,0.10660532352253539,0.0
A. Mayavo,Hockey,Hockey Men's Hockey,MAS,1992.0,No medal,16.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.05325198899891913,0.310043502392008,0.0
Aadjijatmiko H.,Badminton,Badminton Women's Doubles,INA,1992.0,No medal,2.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.06897401629768835,0.15378270537796174,0.0
Aafke Hament,Volleyball,Volleyball Women's Volleyball,NED,1992.0,No medal,11.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.07796501958749519,0.28459811454186573,0.0
Aaron Pollock,Rowing,Rowing Men's Coxed Pairs,USA,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.09641953034177915,0.3796002919782379,0.0
Aaron Ramirez,Athletics,"Athletics Men's 10,000 metres",USA,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.08566921164300186,0.24363116310348898,0.0
Abbas Talebi,Weightlifting,Weightlifting Men's Middleweight,IRI,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.0672222149096268,0.40598288620210476,0.0
Abdallah Juma,Weightlifting,Weightlifting Men's Featherweight,KEN,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.06975018775409644,0.16464419473106004,0.0
Abdel El-aouad,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",MAR,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.09465819878986573,0.28982918793461604,0.0
Abdel El-hadrioui,Football,Football Men's Football,MAR,1992.0,No medal,16.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.061270732797888895,0.08830546116597959,0.0
Abdel El-yazi,Hockey,Hockey Men's Hockey,EGY,1992.0,No medal,16.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.0807108351679411,0.08525845755235817,0.0
Abdel Guriguer,Athletics,Athletics Men's 4 x 400 metres Relay,MAR,1992.0,No medal,4.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.05330555074897857,0.42191293721449785,0.0
Abdel Harkat,Judo,Judo Men's Half-Lightweight,ALG,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.08305307600055575,0.44577544576496053,0.0
Abdel Kasbane,Athletics,Athletics Men's 4 x 400 metres Relay,MAR,1992.0,No medal,4.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.054325181051848394,0.2558926082470189,0.0
Abdel Klouchi,Athletics,Athletics Men's Long Jump,ALG,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.0636654616846729,0.3824653217670249,0.0
Abdel Yahiaoui,Weightlifting,Weightlifting Men's Lightweight,ALG,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.08470823128940608,0.27042360245860186,0.0
Abdelghani Yalouz,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",FRA,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.06360402853411325,0.25885511098682273,0.0
Abdelhadi Legdali,Table Tennis,Table Tennis Men's Singles,MAR,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.08281669428529849,0.49757212180934096,0.0
Abdelkader Wahabi,Boxing,Boxing Men's Light-Welterweight,BEL,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.09741302478884703,0.4211412686148986,0.0
Abdellah Taouane,Boxing,Boxing Men's Welterweight,MAR,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.08692052338248116,0.46589872187451725,0.0
Abderrahman Naanaa,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",MAR,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.08675664701348926,0.08196330891718859,0.0
Abderzak Bella,Swimming,Swimming Men's 100 metres Breaststroke,ALG,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.08825100770246662,0.1859903394091399,0.0
Abderzak Bella,Swimming,Swimming Men's 200 metres Breaststroke,ALG,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.052292383669319445,0.31429803824724556,0.0
Abdollah Chamangoli,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",IRI,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.0880322681631549,0.15557234317262525,0.0
