Name,Sport,Event,NOC,Year,Medal,Division,Strength,First Year,Age,p_max,a_max,alpha,beta,fit_loss
A Dijiang,Basketball,Basketball Men's Basketball,CHN,1992.0,No medal,12.0,1.0,1992.0,16.0,2.5,6.409633892518456,0.06546966919658553,0.21523266836192462,0.0
A. Fernando,Athletics,Athletics Men's Long Jump,SRI,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
A. Mayavo,Hockey,Hockey Men's Hockey,MAS,1992.0,No medal,16.0,1.0,1992.0,16.0,2.5,9.301186823677403,0.05000000000000001,0.05000000000000001,0.0
Aa Joaquim,Handball,Handball Women's Handball,ANG,1996.0,No medal,13.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.09955555116835214,0.3855781135630193,0.0
Aadjijatmiko H.,Badminton,Badminton Women's Doubles,INA,1996.0,No medal,2.0,1.0,1992.0,20.0,1.4437433736368646,9.301186823677403,0.05,0.05,0.0092426452307569
Aafke Hament,Volleyball,Volleyball Women's Volleyball,NED,1992.0,No medal,11.0,1.0,1992.0,16.0,2.5,4.000003224942999,0.537217145926597,0.19057554471052035,0.0
Aaron Mcintosh,Sailing,Sailing Men's Windsurfer,NZL,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,18.252466919355484,0.05,0.2965763806934969,0.0
Aaron Pollock,Rowing,Rowing Men's Coxed Pairs,USA,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,9.301186823677403,0.05000000000000001,0.05000000000000001,0.0
Aaron Ramirez,Athletics,"Athletics Men's 10,000 metres",USA,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,13.919806934626841,0.22018247465873156,0.1341198206669907,0.0
Aart Vierhouten,Cycling,"Cycling Men's Road Race, Individual",NED,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,19.104186113004786,0.08127069196755954,0.18262349150991164,0.0
Abbas Al-harbi,Handball,Handball Men's Handball,KUW,1996.0,No medal,12.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.9184182670218177,0.4170879828333896,0.0
Abbas Jadidi,Wrestling,"Wrestling Men's Heavyweight, Freestyle",IRI,1996.0,Silver,1.0,6.0,1996.0,16.0,7.5,9.301186823677403,0.05,0.05,0.0
Abbas Kenari,Wrestling,"Wrestling Men's Featherweight, Freestyle",IRI,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Abbas Talebi,Weightlifting,Weightlifting Men's Middleweight,IRI,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.6118173741658769,0.2459158846224837,0.0
Abdalla Al-sebaei,Weightlifting,Weightlifting Men's Lightweight,SYR,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,5.060345130156573,0.36155684612339534,0.07144904252167002,0.0
Abdallah Juma,Weightlifting,Weightlifting Men's Featherweight,KEN,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.23561017078887392,0.13297792192047245,0.0
Abdel Bouanani,Handball,Handball Men's Handball,ALG,1996.0,No medal,16.0,1.0,1996.0,16.0,2.5,5.411082163566189,0.6531631844754442,0.12070842444448851,0.0
Abdel Boulehia,Boxing,Boxing Men's Bantamweight,ALG,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.1826405393619845,0.13000072209615193,0.0
Abdel Chkhmani,Athletics,"Athletics Men's 1,500 metres",FRA,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,9.188276174314597,0.14865748548417637,0.10365905136294841,0.0
Abdel Chorfi,Judo,Judo Men's Extra-Lightweight,MAR,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.8035106831124718,0.36088372505714683,0.0
Abdel El-aouad,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",MAR,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.7839804148948638,0.315141710956716,0.0
Abdel El-hadrioui,Football,Football Men's Football,MAR,1992.0,No medal,16.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.7370068325595353,0.20991267817011383,0.0
Abdel El-mouaziz,Athletics,Athletics Men's Marathon,MAR,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,20.01864312788366,0.05,0.5112718326951545,0.0
Abdel El-yazi,Hockey,Hockey Men's Hockey,EGY,1992.0,No medal,16.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.38272489827090633,0.3162549282836126,0.0
Abdel Essafoui,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",MAR,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.34938667514722377,0.49529581961900354,0.0
Abdel Guriguer,Athletics,Athletics Men's 4 x 400 metres Relay,MAR,1992.0,No medal,4.0,1.0,1992.0,16.0,2.5,20.01864312788366,0.05,0.5112718326951545,0.0
Abdel Harkat,Judo,Judo Men's Half-Lightweight,ALG,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Abdel Harkat,Judo,Judo Men's Lightweight,ALG,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Abdel Kasbane,Athletics,Athletics Men's 4 x 400 metres Relay,MAR,1992.0,No medal,4.0,1.0,1992.0,16.0,2.5,20.01864312788366,0.05,0.5112718326951545,0.0
Abdel Klouchi,Athletics,Athletics Men's Long Jump,ALG,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,11.379785530798223,0.3666666666666667,0.2248910636201914,0.0
Abdel Loukil,Handball,Handball Men's Handball,ALG,1996.0,No medal,16.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.10493415148359546,0.11334723290806087,0.0
Abdel Sahre,Athletics,"Athletics Men's 3,000 metres Steeplechase",MAR,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,20.01864312788366,0.05,0.5112718326951545,0.0
Abdel Yahiaoui,Weightlifting,Weightlifting Men's Lightweight,ALG,1996.0,No medal,1.0,1.0,1992.0,20.0,1.4437433736368646,9.301186823677403,0.05,0.05,0.0092426452307569
Abdelghani Yalouz,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",FRA,1996.0,Silver,1.0,6.0,1992.0,20.0,1.585503803159155,4.0,1.0,0.05,6.048384286829674
Abdelhadi Legdali,Table Tennis,Table Tennis Men's Singles,MAR,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.764954730195396,0.8728710076183352,0.18318564072907978,0.0
Abdelkader Wahabi,Boxing,Boxing Men's Light-Welterweight,BEL,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.5233606553953389,0.215511805252244,0.0
Abdellah Bhar,Athletics,"Athletics Men's 10,000 metres",FRA,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,9.188276174314597,0.14865748548417637,0.10365905136294841,0.0
Abdellah Taouane,Boxing,Boxing Men's Welterweight,MAR,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.3705491440609344,0.12408994245526689,0.0
Abderrahim Redouane,Athletics,Athletics Men's Marathon,MAR,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,20.01864312788366,0.05,0.5112718326951545,0.0
Abderrahman Naanaa,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",MAR,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.7347216204077448,0.3902416113389125,0.0
Abderzak Bella,Swimming,Swimming Men's 100 metres Breaststroke,ALG,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.07508347942216992,0.1176653827228036,0.0
Abderzak Bella,Swimming,Swimming Men's 200 metres Breaststroke,ALG,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.34982928193463797,0.45777872191954494,0.0
Abdi Abdi,Athletics,"Athletics Men's 1,500 metres",SOM,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.419867630336133,0.11084055770745865,0.0
Abdi Isak,Athletics,Athletics Men's Marathon,SOM,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.7943185754861395,0.3504197470776149,0.0
Abdollah Chamangoli,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",IRI,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Abdollah Rika,Weightlifting,Weightlifting Men's Heavyweight I,IRI,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.6738291174397323,0.30487359689658383,0.0
Abdou Manzo,Athletics,Athletics Men's Marathon,NIG,1996.0,No medal,1.0,1.0,1992.0,20.0,1.4437433736368646,9.301186823677403,0.05,0.05,0.0092426452307569
Abdoul Seck,Judo,Judo Men's Half-Lightweight,SEN,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.18143750957185067,0.33970622797241085,0.0
Abdul Al-abdullah,Athletics,Athletics Men's 800 metres,QAT,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,11.44442122414602,0.05,0.10951782595257967,0.0
Abdul Al-boloushi,Handball,Handball Men's Handball,KUW,1996.0,No medal,12.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.49952788188424824,0.27509387076449743,0.0
Abdul Al-marzoug,Football,Football Men's Football,KSA,1996.0,No medal,15.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.9413377129892428,0.4397281717748525,0.0
Abdul Al-matrouk,Diving,Diving Men's Platform,KUW,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.31880650464414323,0.35003997042586354,0.0
Abdul Al-obaidly,Football,Football Men's Football,QAT,1992.0,No medal,17.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.20156044707903192,0.22963015467699988,0.0
Abdul Al-yoha,Athletics,Athletics Men's Triple Jump,KUW,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.4348109618947891,0.17215630607158833,0.0
Abdul Ali,Fencing,"Fencing Men's Foil, Individual",KUW,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.4089642260089806,0.13082285014416828,0.0
Abdul Baloch J.,Boxing,Boxing Men's Welterweight,PAK,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.07398945136747326,0.25032890178230904,0.0
Abdul Dabo,Judo,Judo Men's Half-Middleweight,MLI,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.49110434539079284,0.3367379212230777,0.0
Abdul Ghafoor,Athletics,Athletics Men's 100 metres,AFG,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,15.55154757804597,0.9284089010205089,0.13329006857677045,0.0
Abdul Jalouf,Football,Football Men's Football,QAT,1992.0,No medal,17.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.7514278544617029,0.19488709583442682,0.0
Abdul Karim,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",INA,1992.0,No medal,2.0,1.0,1992.0,16.0,2.5,4.465656632520442,0.8837639579647913,0.19790237007556466,0.0
Abdul Karim,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",INA,1992.0,No medal,2.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.743463532320595,0.2677272502480849,0.0
Abdul Khan,Badminton,Badminton Men's Doubles,SGP,1992.0,No medal,2.0,1.0,1992.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Abdul Khan,Badminton,Badminton Men's Singles,SGP,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Abdul Qambrani,Boxing,Boxing Men's Light-Flyweight,PAK,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,11.03004492569165,0.8850400544856403,0.13548659477565556,0.0
Abdul Razak,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",INA,1992.0,No medal,2.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.6549360436111064,0.2612903882995879,0.0
Abdul Razak,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",INA,1992.0,No medal,2.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.21638198561076832,0.1790460776842041,0.0
Abdul Sifeen,Football,Football Men's Football,KSA,1996.0,No medal,15.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.7923019076165928,0.48014091959777644,0.0
Abdul Wasiqi,Athletics,Athletics Men's Marathon,AFG,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.09161562002956283,0.23313857979466218,0.0
Abdul Zakari,Athletics,Athletics Men's 4 x 100 metres Relay,GHA,1996.0,No medal,5.0,1.0,1996.0,16.0,2.5,7.975891730229552,0.06061711156139518,0.06810498556223937,0.0
Abdulieh Janneh,Athletics,Athletics Men's 100 metres,GAM,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Abdulieh Janneh,Athletics,Athletics Men's 4 x 100 metres Relay,GAM,1992.0,No medal,4.0,1.0,1992.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Abdullah Al-abdullah,Football,Football Men's Football,QAT,1992.0,No medal,17.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.35350696788998537,0.4077450380829459,0.0
Abdullah Al-anbari,Athletics,Athletics Men's 800 metres,OMA,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.08851414914247134,0.3771225767090279,0.0
Abdullah Al-dosari,Athletics,"Athletics Men's 10,000 metres",BRN,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.14678221365660465,0.060884318533352605,0.0
Abdullah Al-dosari,Athletics,"Athletics Men's 5,000 metres",BRN,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,10.884929215792551,0.7271292787516245,0.10547444606092601,0.0
