Sport,NOC,First Year,p_max,a_max,alpha,beta
Athletics,AFG,1996.0,2.5,9.775777013965984,0.5100122605250358,0.18321432418571626
Athletics,AHO,1992.0,2.5,15.999993550114002,0.750585122696473,0.1009920509595104
Athletics,AHO,1996.0,2.5,4.000006449885999,0.7014400433869196,0.3909062649414952
Judo,AHO,1996.0,2.5,4.000006449885999,0.0809134616688187,0.1141395327132145
Sailing,AHO,1992.0,1.9718716868184323,9.301186823677403,0.05,0.05
Sailing,AHO,1996.0,2.5,9.301186823677403,0.05,0.05
Shooting,AHO,1992.0,2.5,4.000006449885999,0.4033368073036089,0.2318346063023828
Shooting,AHO,1996.0,2.5,4.000006449885999,0.40876784821122514,0.2598984840099944
Swimming,AHO,1996.0,2.5,4.000006449885999,0.9939774960790086,0.38244526647319
Athletics,ALB,1992.0,2.5,4.000006449885999,0.3592384270198182,0.3657533851899509
Athletics,ALB,1996.0,2.5,4.000006449885999,0.5538342714412399,0.1395426680523097
Cycling,ALB,1996.0,2.5,15.999993550114002,0.8251350212156254,0.108429949648977
Shooting,ALB,1992.0,1.9718716868184323,9.301186823677403,0.05,0.05
Shooting,ALB,1996.0,2.5,9.301186823677403,0.05000000000000001,0.05000000000000001
Swimming,ALB,1992.0,2.5,4.000006449885999,0.18488127897909626,0.20735804085545592
Weightlifting,ALB,1992.0,2.5,4.246253795065818,0.7567414968990401,0.30333409951411605
Weightlifting,ALB,1996.0,2.5,4.000006449885999,0.5216240696779294,0.3890685448593091
Wrestling,ALB,1996.0,2.5,4.000006449885999,0.1271067422979477,0.283089288361614
Athletics,ALG,1992.0,2.2579339991334737,11.379785530798223,0.3666666666666667,0.2248910636201914
Athletics,ALG,1996.0,2.5,11.379785530798223,0.3666666666666667,0.22489106362019137
Boxing,ALG,1992.0,2.875,4.15443299276961,0.516785634277342,0.3185109759063794
Boxing,ALG,1996.0,4.5,4.085098686553809,0.4442335009531893,0.25259292114929255
Fencing,ALG,1996.0,2.5,4.000006449885999,0.8849175078872249,0.28277326603370917
Handball,ALG,1996.0,2.5,4.122535378685173,0.533421739849625,0.2953061596971723
Judo,ALG,1992.0,2.147914457878955,9.301186823677403,0.05000000000000001,0.05000000000000001
