NOC,Sport,First Year,p_max,a_max,alpha,beta
AFG,Athletics,1996.0,0.24999999999999994,0.9775777013965982,0.05100122605250357,0.018321432418571617
AFG,Athletics,2000.0,2.25,9.775777013965984,0.5100122605250358,0.1832143241857162
AHO,Athletics,1992.0,1.0,6.399997420045601,0.30023404907858925,0.04039682038380416
AHO,Athletics,1996.0,2.5,14.799994840091202,0.7456706147655177,0.12998347235770888
AHO,Athletics,2000.0,2.25,4.000006449885999,0.7014400433869196,0.3909062649414952
AHO,Judo,1996.0,0.24999999999999994,0.4000006449885998,0.008091346166881869,0.011413953271321447
AHO,Judo,2000.0,2.25,4.000006449885999,0.0809134616688187,0.1141395327132145
AHO,Sailing,1992.0,0.7887486747273731,3.7204747294709613,0.020000000000000004,0.020000000000000004
AHO,Sailing,1996.0,2.0246845181365893,9.301186823677403,0.05,0.05
AHO,Sailing,2000.0,2.25,9.301186823677403,0.05,0.05
AHO,Shooting,1992.0,1.0,1.6000025799543995,0.16133472292144357,0.09273384252095312
AHO,Shooting,1996.0,2.5,4.000006449885999,0.4038799113943705,0.23464099407314398
AHO,Shooting,2000.0,2.25,4.000006449885999,0.4087678482112251,0.2598984840099944
AHO,Swimming,1996.0,0.24999999999999994,0.4000006449885998,0.09939774960790085,0.03824452664731899
AHO,Swimming,2000.0,2.25,4.000006449885999,0.9939774960790086,0.38244526647319
ALB,Athletics,1992.0,1.0,1.6000025799543995,0.14369537080792727,0.14630135407598036
ALB,Athletics,1996.0,2.5,4.000006449885999,0.37869801146196036,0.3431323134761868
ALB,Athletics,2000.0,2.25,4.000006449885999,0.5538342714412399,0.1395426680523097
ALB,Cycling,1996.0,0.24999999999999994,1.5999993550113998,0.08251350212156253,0.010842994964897696
ALB,Cycling,2000.0,2.25,15.999993550114002,0.8251350212156254,0.108429949648977
ALB,Shooting,1992.0,0.7887486747273731,3.7204747294709613,0.020000000000000004,0.020000000000000004
ALB,Shooting,1996.0,2.0246845181365893,9.301186823677403,0.05,0.05
ALB,Shooting,2000.0,2.25,9.301186823677403,0.05,0.05
ALB,Swimming,1992.0,1.0,1.6000025799543995,0.07395251159163849,0.08294321634218237
ALB,Swimming,1996.0,2.475,4.000006449885999,0.18488127897909618,0.2073580408554559
ALB,Swimming,2000.0,2.025,4.000006449885999,0.1848812789790962,0.2073580408554559
ALB,Weightlifting,1992.0,1.0,1.6985015180263272,0.3026965987596161,0.1213336398056464
ALB,Weightlifting,1996.0,2.5,4.221629060547836,0.733229754176929,0.3119075440486353
ALB,Weightlifting,2000.0,2.25,4.000006449885999,0.5216240696779294,0.3890685448593091
ALB,Wrestling,1996.0,0.24999999999999994,0.4000006449885998,0.012710674229794766,0.028308928836161394
ALB,Wrestling,2000.0,2.25,4.000006449885999,0.1271067422979477,0.283089288361614
ALG,Athletics,1992.0,0.9031735996533895,4.551914212319289,0.1466666666666667,0.08995642544807657
ALG,Athletics,1996.0,2.2821405992201265,11.379785530798223,0.3666666666666667,0.22489106362019137
ALG,Athletics,2000.0,2.25,11.379785530798223,0.3666666666666667,0.2248910636201913
ALG,Boxing,1992.0,1.1500000000000001,1.6617731971078442,0.20671425371093682,0.12740439036255177
ALG,Boxing,1996.0,3.0374999999999996,4.14749956214803,0.5095304209449267,0.3119191704306707
ALG,Boxing,2000.0,4.05,4.085098686553809,0.4442335009531893,0.2525929211492925
ALG,Fencing,1996.0,0.24999999999999994,0.4000006449885998,0.08849175078872247,0.028277326603370904
ALG,Fencing,2000.0,2.25,4.000006449885999,0.8849175078872249,0.2827732660337091
ALG,Handball,1996.0,0.24999999999999994,0.4122535378685172,0.05334217398496249,0.029530615969717223
