Name,Sport,Event,NOC,Year,Medal,Division,Strength,First Year,Age,p_max,a_max,alpha,beta,fit_loss,p_max_c,a_max_c,alpha_c,beta_c,t,result,real_medal
Alex Silva,Football,Football Men's Football,BRA,2008.0,Bronze,17.0,0.2352941176470588,2008.0,16.0,0.3235294117647059,4.000004760630142,0.0639954325741184,0.2503056788437302,0.0,0.336332901226496,4.000004963619096,0.0646093249898184,0.2576358526534743,24.0,0.0012226057222129547,
Alex Silva,Football,Football Men's Football,BRA,2012.0,Silver,18.0,0.3333333333333333,2008.0,20.0,0.4166666666666666,4.000006449885999,0.0735161216591632,0.4093534679753984,0.0,0.336332901226496,4.000004963619096,0.0646093249898184,0.2576358526534743,24.0,6.654248533550895e-05,
Alexandre Silva,Football,Football Men's Football,BRA,2008.0,Bronze,17.0,0.2352941176470588,2008.0,16.0,0.3235294117647059,4.000004760630142,0.0639954325741184,0.2503056788437302,0.0,0.336332901226496,4.000004963619096,0.0646093249898184,0.2576358526534743,24.0,0.0012226057222129547,
Alexandre Silva,Football,Football Men's Football,BRA,2012.0,Silver,18.0,0.3333333333333333,2008.0,20.0,0.4166666666666666,4.000006449885999,0.0510930617076761,0.1665778961470095,0.0,0.336332901226496,4.000004963619096,0.0646093249898184,0.2576358526534743,24.0,0.008210538555061748,
Bruno Bortolana,Football,Football Men's Football,BRA,2012.0,Silver,18.0,0.3333333333333333,2012.0,16.0,0.4166666666666666,4.000004760630142,0.0639954325741184,0.2503056788437302,0.0,0.3408094344618403,4.000004902503062,0.064663585431317,0.2561628138314187,20.0,0.004257712648793637,
Danilo Silva,Football,Football Men's Football,BRA,2012.0,Silver,18.0,0.3333333333333333,2012.0,16.0,0.4166666666666666,4.000004760630142,0.0639954325741184,0.2503056788437302,0.0,0.3408094344618403,4.000004902503062,0.064663585431317,0.2561628138314187,20.0,0.004257712648793637,
Gabriel Ferreira,Football,Football Men's Football,BRA,2012.0,Silver,18.0,0.3333333333333333,2012.0,16.0,0.4166666666666666,4.000004760630142,0.0639954325741184,0.2503056788437302,0.0,0.3408094344618403,4.000004902503062,0.064663585431317,0.2561628138314187,20.0,0.004257712648793637,
Givanildo Souza,Football,Football Men's Football,BRA,2012.0,Silver,18.0,0.3333333333333333,2012.0,16.0,0.4166666666666666,4.000004760630142,0.0639954325741184,0.2503056788437302,0.0,0.3408094344618403,4.000004902503062,0.064663585431317,0.2561628138314187,20.0,0.004257712648793637,
Juan Jesus,Football,Football Men's Football,BRA,2012.0,Silver,18.0,0.3333333333333333,2012.0,16.0,0.4166666666666666,4.000004760630142,0.0639954325741184,0.2503056788437302,0.0,0.3408094344618403,4.000004902503062,0.064663585431317,0.2561628138314187,20.0,0.004257712648793637,
Leandro Santos,Football,Football Men's Football,BRA,2012.0,Silver,18.0,0.3333333333333333,2012.0,16.0,0.4166666666666666,4.000004760630142,0.0639954325741184,0.2503056788437302,0.0,0.3408094344618403,4.000004902503062,0.064663585431317,0.2561628138314187,20.0,0.004257712648793637,
Lucas Silva,Football,Football Men's Football,BRA,2012.0,Silver,18.0,0.3333333333333333,2012.0,16.0,0.4166666666666666,4.000004760630142,0.0639954325741184,0.2503056788437302,0.0,0.3408094344618403,4.000004902503062,0.064663585431317,0.2561628138314187,20.0,0.004257712648793637,
Marcelo Jnior,Football,Football Men's Football,BRA,2008.0,Bronze,17.0,0.2352941176470588,2008.0,16.0,0.3235294117647059,4.000004760630142,0.0639954325741184,0.2503056788437302,0.0,0.336332901226496,4.000004963619096,0.0646093249898184,0.2576358526534743,24.0,0.0012226057222129547,
Marcelo Jnior,Football,Football Men's Football,BRA,2012.0,Silver,18.0,0.3333333333333333,2008.0,20.0,0.4166666666666666,4.000006449885999,0.0566366116599141,0.220192556455907,0.0,0.336332901226496,4.000004963619096,0.0646093249898184,0.2576358526534743,24.0,0.0028378830167490416,
Neymar Jnior,Football,Football Men's Football,BRA,2012.0,Silver,18.0,0.3333333333333333,2012.0,16.0,0.4166666666666666,4.000004760630142,0.0639954325741184,0.2503056788437302,0.0,0.3408094344618403,4.000004902503062,0.064663585431317,0.2561628138314187,20.0,0.004257712648793637,3.0
Norberto Neto,Football,Football Men's Football,BRA,2012.0,Silver,18.0,0.3333333333333333,2012.0,16.0,0.4166666666666666,4.000004760630142,0.0639954325741184,0.2503056788437302,0.0,0.3408094344618403,4.000004902503062,0.064663585431317,0.2561628138314187,20.0,0.004257712648793637,
Oscar Jnior,Football,Football Men's Football,BRA,2012.0,Silver,18.0,0.3333333333333333,2012.0,16.0,0.4166666666666666,4.000004760630142,0.0639954325741184,0.2503056788437302,0.0,0.3408094344618403,4.000004902503062,0.064663585431317,0.2561628138314187,20.0,0.004257712648793637,
