Name,Sport,Event,NOC,Year,Medal,Division,Strength,First Year,Age,p_max,a_max,alpha,beta,fit_loss,p_max_c,a_max_c,alpha_c,beta_c,t,result,real_medal,mapped_result,difference
Michel Daou,Shooting,Shooting Men's Double Trap,AHO,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.0656233715623145,0.4561540992577415,0.0,2.5,4.000006449885999,0.4038799113943705,0.2346409940731439,20.0,0.0011127621764539,0.0,0.0,0.0
Howard Hinds,Swimming,Swimming Men's 50 metres Freestyle,AHO,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.9939774960790086,0.38244526647319,0.0,0.2499999999999999,0.4000006449885998,0.0993977496079008,0.0382445266473189,20.0,0.0175117413832174,0.0,0.0,0.0
Mirela Maniani-tzelili,Athletics,Athletics Women's Javelin Throw,ALB,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.8096913685686703,0.0713021573181505,0.0,2.5,4.000006449885999,0.3786980114619603,0.3431323134761868,20.0,1.516040771307892,2.0,0.0,-2.0
Djana Mata,Shooting,"Shooting Women's Air Pistol, 10 metres",ALB,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0,2.0246845181365893,9.301186823677403,0.05,0.05,20.0,2.297461732118928,0.0,0.0,0.0
Djana Mata,Shooting,"Shooting Women's Sporting Pistol, 25 metres",ALB,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0,2.0246845181365893,9.301186823677403,0.05,0.05,20.0,2.297461732118928,0.0,0.0,0.0
Ilirjan Suli,Weightlifting,Weightlifting Men's Middleweight,ALB,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.5216240696779294,0.3890685448593091,0.0,2.5,4.221629060547836,0.733229754176929,0.3119075440486353,20.0,0.0062631401606918,0.0,0.0,0.0
Noureddine Morceli,Athletics,"Athletics Men's 1,500 metres",ALG,1996.0,Gold,1.0,10.0,1992.0,20.0,2.877662618564399,4.812255028286903,1.0,0.05,19.678989930109715,0.9031735996533896,4.551914212319289,0.1466666666666667,0.0899564254480765,24.0,4.383021616738949,0.0,1.0,1.0
Rda Benzine,Athletics,"Athletics Men's 5,000 metres",ALG,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,11.379785530798223,0.3666666666666667,0.2248910636201914,0.0,2.2821405992201265,11.379785530798223,0.3666666666666667,0.2248910636201913,20.0,0.367657339439721,0.0,0.0,0.0
Adem Hecini,Athletics,Athletics Men's 800 metres,ALG,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,11.379785530798223,0.3666666666666667,0.2248910636201914,0.0,2.2821405992201265,11.379785530798223,0.3666666666666667,0.2248910636201913,20.0,0.367657339439721,0.0,0.0,0.0
Noureddine Madjhoud,Boxing,Boxing Men's Featherweight,ALG,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.4653129057927418,0.3309114899782278,0.0,3.0375,4.14749956214803,0.5095304209449267,0.3119191704306707,20.0,0.014314801401557,0.0,0.0,0.0
