NOC,Sport,Event,Division,1992,1996,2000,2004,2008,2012,2016,2020,2024
AFG,Athletics,Athletics Men's 100 metres,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,
AFG,Athletics,Athletics Men's Marathon,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
AFG,Athletics,Athletics Women's 100 metres,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,
AFG,Athletics,Men's 100m,1,,,,,,,,0.0,0.0
AFG,Athletics,Women's 100m,1,,,,,,,,0.0,0.0
AFG,Boxing,Boxing Men's Flyweight,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
AFG,Boxing,Boxing Men's Welterweight,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
AFG,Cycling Road,Women's Individual Time Trial,1,,,,,,,,0.0,1.0
AFG,Cycling Road,Women's Road Race,1,,,,,,,,0.0,2.0
AFG,Judo,Judo Men's Half-Heavyweight,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
AFG,Judo,Judo Men's Half-Lightweight,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
AFG,Judo,Judo Women's Middleweight,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
AFG,Judo,Men -81 kg,1,,,,,,,,0.0,1.0
AFG,Shooting,10m Air Rifle Men,1,,,,,,,,0.0,0.0
AFG,Swimming,Men's 50m Freestyle,1,,,,,,,,0.0,0.0
AFG,Taekwondo,Men +80kg,1,,,,,,,,0.0,0.0
AFG,Taekwondo,Taekwondo Men's Featherweight,1,,,0.0,0.0,1.0,1.0,0.0,,
AFG,Taekwondo,Taekwondo Men's Flyweight,1,,,0.0,0.0,1.0,0.0,0.0,,
AFG,Taekwondo,Taekwondo Men's Welterweight,1,,,0.0,0.0,0.0,1.0,0.0,,
AFG,Wrestling,"Wrestling Men's Featherweight, Freestyle",1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
AHO,Athletics,Athletics Men's 100 metres,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
AHO,Athletics,Athletics Men's 110 metres Hurdles,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
AHO,Athletics,Athletics Men's 200 metres,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,
AHO,Athletics,Athletics Men's Long Jump,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
AHO,Athletics,Athletics Women's 800 metres,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
AHO,Equestrian,"Equestrian Mixed Three-Day Event, Individual",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
AHO,Judo,Judo Men's Middleweight,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
AHO,Sailing,Sailing Men's Windsurfer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
AHO,Sailing,Sailing Mixed One Person Dinghy,1,,0.0,1.0,0.0,0.0,,,,
AHO,Sailing,Sailing Women's Windsurfer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
AHO,Shooting,"Shooting Men's Air Pistol, 10 metres",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
AHO,Shooting,Shooting Men's Double Trap,1,,0.0,0.0,0.0,0.0,0.0,0.0,,
AHO,Shooting,Shooting Men's Trap,1,,0.0,0.0,0.0,0.0,0.0,0.0,,
AHO,Shooting,Shooting Mixed Trap,1,0.0,,,,,,,,
AHO,Swimming,Swimming Men's 100 metres Freestyle,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
AHO,Swimming,Swimming Men's 50 metres Freestyle,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,
AHO,Triathlon,Triathlon Men's Olympic Distance,1,,,0.0,0.0,0.0,0.0,0.0,,
AIN,Canoeing,Men's Canoe Double 500m,1,,,,,,,,,0.0
AIN,Canoeing,Men's Canoe Single 1000m,1,,,,,,,,0.0,1.0
AIN,Canoeing,Men's Kayak Single 1000m,1,,,,,,,,0.0,1.0
AIN,Canoeing,Women's Canoe Single 200m,1,,,,,,,,0.0,2.0
AIN,Cycling Road,Men's Individual Time Trial,1,,,,,,,,0.0,1.0
AIN,Cycling Road,Men's Road Race,1,,,,,,,,0.0,1.0
AIN,Cycling Road,Women's Individual Time Trial,1,,,,,,,,0.0,2.0
AIN,Cycling Road,Women's Road Race,1,,,,,,,,0.0,3.0
AIN,Gymnastics,Men,1,,,,,,,,0.0,1.0
AIN,Gymnastics,Women,1,,,,,,,,0.0,2.0
AIN,Rowing,Men's Single Sculls,1,,,,,,,,0.0,1.0
AIN,Rowing,Women's Single Sculls,1,,,,,,,,0.0,1.0
AIN,Shooting,25m Pistol Women,1,,,,,,,,0.0,1.0
AIN,Shooting,50m Rifle 3 Positions Women,1,,,,,,,,0.0,1.0
AIN,Swimming,Men's 100m Breaststroke,1,,,,,,,,0.0,2.0
AIN,Swimming,Men's 50m Freestyle,1,,,,,,,,0.0,1.0
AIN,Swimming,Women's 100m Backstroke,1,,,,,,,,0.0,1.0
AIN,Swimming,Women's 100m Breaststroke,1,,,,,,,,0.0,1.0
AIN,Swimming,Women's 200m Backstroke,1,,,,,,,,0.0,1.0
AIN,Swimming,Women's 200m Breaststroke,1,,,,,,,,0.0,1.0
AIN,Taekwondo,Men -58kg,1,,,,,,,,0.0,1.0
AIN,Tennis,Men's Doubles,2,,,,,,,,,0.0
AIN,Tennis,Men's Singles,1,,,,,,,,0.0,3.0
AIN,Tennis,Mixed Doubles,1,,,,,,,,,0.0
AIN,Tennis,Women's Doubles,2,,,,,,,,,0.0
AIN,Tennis,Women's Singles,1,,,,,,,,0.0,3.0
AIN,Weightlifting,Men's 102kg,1,,,,,,,,,0.0
AIN,Weightlifting,Women's 71kg,1,,,,,,,,,0.0
AIN,Wrestling,Men's Freestyle 74kg,1,,,,,,,,0.0,1.0
AIN,Wrestling,Men's Greco-Roman 97kg,1,,,,,,,,0.0,1.0
ALB,Athletics,Athletics Men's 100 metres,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
ALB,Athletics,Athletics Men's Hammer Throw,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALB,Athletics,Athletics Men's Long Jump,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALB,Athletics,Athletics Men's Shot Put,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
ALB,Athletics,"Athletics Women's 3,000 metres Steeplechase",1,,,,,0.0,0.0,1.0,,
ALB,Athletics,Athletics Women's 400 metres,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
ALB,Athletics,Athletics Women's 400 metres Hurdles,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALB,Athletics,Athletics Women's Heptathlon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALB,Athletics,Athletics Women's Javelin Throw,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ALB,Athletics,Athletics Women's Triple Jump,1,,0.0,0.0,0.0,0.0,0.0,0.0,,
ALB,Athletics,Men's 100m,1,,,,,,,,0.0,1.0
ALB,Athletics,Men's Long Jump,1,,,,,,,,0.0,0.0
ALB,Athletics,Women's 3000m Steeplechase,1,,,,,,,,0.0,0.0
ALB,Cycling,"Cycling Men's Road Race, Individual",1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ALB,Gymnastics,Men's Pommel Horse,1,,,,,,,,0.0,0.0
ALB,Judo,Judo Men's Half-Middleweight,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
ALB,Judo,Judo Women's Half-Lightweight,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
ALB,Judo,Men -66 kg,1,,,,,,,,0.0,0.0
ALB,Shooting,10m Air Pistol Women,1,,,,,,,,0.0,1.0
ALB,Shooting,25m Pistol Women,1,,,,,,,,0.0,1.0
ALB,Shooting,"Shooting Men's Air Pistol, 10 metres",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
ALB,Shooting,"Shooting Men's Free Pistol, 50 metres",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
ALB,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALB,Shooting,"Shooting Women's Air Pistol, 10 metres",1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,
ALB,Shooting,"Shooting Women's Sporting Pistol, 25 metres",1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,
ALB,Swimming,Men's 100m Freestyle,1,,,,,,,,0.0,1.0
ALB,Swimming,Swimming Men's 100 metres Breaststroke,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALB,Swimming,Swimming Men's 100 metres Freestyle,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
ALB,Swimming,Swimming Men's 50 metres Freestyle,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,
ALB,Swimming,Swimming Women's 100 metres Butterfly,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
ALB,Swimming,Swimming Women's 100 metres Freestyle,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALB,Swimming,Swimming Women's 50 metres Freestyle,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALB,Swimming,Women's 200m Freestyle,1,,,,,,,,0.0,1.0
ALB,Swimming,Women's 50m Freestyle,1,,,,,,,,0.0,0.0
ALB,Weightlifting,Men's 73kg,1,,,,,,,,0.0,0.0
ALB,Weightlifting,Men's 81kg,1,,,,,,,,0.0,
ALB,Weightlifting,Weightlifting Men's Featherweight,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALB,Weightlifting,Weightlifting Men's Heavyweight II,1,0.0,0.0,,,,,,,
ALB,Weightlifting,Weightlifting Men's Lightweight,1,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,
ALB,Weightlifting,Weightlifting Men's Middle-Heavyweight,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
ALB,Weightlifting,Weightlifting Men's Middleweight,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,
ALB,Weightlifting,Weightlifting Women's Featherweight,1,,,0.0,0.0,0.0,0.0,1.0,,
ALB,Weightlifting,Weightlifting Women's Lightweight,1,,,0.0,0.0,1.0,0.0,0.0,,
ALB,Wrestling,Men's Freestyle 57kg,1,,,,,,,,0.0,1.0
ALB,Wrestling,Men's Freestyle 65kg,1,,,,,,,,0.0,1.0
ALB,Wrestling,Men's Freestyle 74kg,1,,,,,,,,0.0,1.0
ALB,Wrestling,"Wrestling Men's Heavyweight, Freestyle",1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ALB,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
ALB,Wrestling,"Wrestling Men's Lightweight, Freestyle",1,0.0,0.0,0.0,1.0,0.0,0.0,,,
ALG,Athletics,"Athletics Men's 1,500 metres",1,0.0,1.0,2.0,1.0,1.0,1.0,1.0,,
ALG,Athletics,"Athletics Men's 10,000 metres",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
ALG,Athletics,Athletics Men's 20 kilometres Walk,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,
ALG,Athletics,Athletics Men's 200 metres,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Athletics,"Athletics Men's 3,000 metres Steeplechase",1,0.0,0.0,2.0,1.0,1.0,1.0,3.0,,
ALG,Athletics,Athletics Men's 4 x 400 metres Relay,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,
ALG,Athletics,Athletics Men's 400 metres,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,
ALG,Athletics,Athletics Men's 400 metres Hurdles,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,
ALG,Athletics,"Athletics Men's 5,000 metres",1,0.0,1.0,1.0,2.0,0.0,1.0,0.0,,
ALG,Athletics,Athletics Men's 800 metres,1,0.0,1.0,1.0,1.0,1.0,1.0,2.0,,
ALG,Athletics,Athletics Men's Decathlon,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Athletics,Athletics Men's High Jump,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
ALG,Athletics,Athletics Men's Long Jump,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALG,Athletics,Athletics Men's Marathon,1,0.0,0.0,1.0,3.0,0.0,1.0,2.0,,
ALG,Athletics,Athletics Men's Triple Jump,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
ALG,Athletics,"Athletics Women's 1,500 metres",1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
ALG,Athletics,"Athletics Women's 10,000 metres",1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
ALG,Athletics,Athletics Women's 20 kilometres Walk,1,,,0.0,0.0,0.0,0.0,0.0,,
ALG,Athletics,"Athletics Women's 3,000 metres Steeplechase",1,,,,,0.0,0.0,1.0,,
ALG,Athletics,"Athletics Women's 5,000 metres",1,,0.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Athletics,Athletics Women's 800 metres,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ALG,Athletics,Athletics Women's Heptathlon,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
ALG,Athletics,Athletics Women's Marathon,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,
ALG,Athletics,Athletics Women's Triple Jump,1,,0.0,1.0,0.0,0.0,0.0,0.0,,
ALG,Athletics,Men's 110m Hurdles,1,,,,,,,,0.0,1.0
ALG,Athletics,Men's 3000m Steeplechase,1,,,,,,,,0.0,1.0
ALG,Athletics,Men's 400m Hurdles,1,,,,,,,,0.0,0.0
ALG,Athletics,Men's 800m,1,,,,,,,,0.0,3.0
ALG,Athletics,Men's Discus Throw,1,,,,,,,,0.0,1.0
ALG,Athletics,Men's Triple Jump,1,,,,,,,,0.0,1.0
ALG,Athletics,Women's 400m Hurdles,1,,,,,,,,0.0,0.0
ALG,Athletics,Women's Hammer Throw,1,,,,,,,,0.0,1.0
ALG,Badminton,Badminton Men's Singles,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
ALG,Badminton,Mixed Doubles,1,,,,,,,,,0.0
ALG,Boxing,Boxing Men's Bantamweight,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,
ALG,Boxing,Boxing Men's Featherweight,1,0.0,1.0,0.0,1.0,1.0,,,,
ALG,Boxing,Boxing Men's Flyweight,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,
ALG,Boxing,Boxing Men's Heavyweight,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,
ALG,Boxing,Boxing Men's Light-Flyweight,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,
ALG,Boxing,Boxing Men's Light-Heavyweight,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,
