NOC,Sport,Event,Division,1992,1996,2000,2004,2008,2012,2016,2020,2024,Predicted
AFG,Athletics,Athletics Men's 100 metres,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.9,0.81,0.6816336671209684
AFG,Athletics,Athletics Men's Marathon,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025745201753704712
AFG,Athletics,Athletics Women's 100 metres,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.9,0.81,0.7631154614260088
AFG,Athletics,Men's 100m,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Athletics,Women's 100m,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Boxing,Boxing Men's Flyweight,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10722699605874514
AFG,Boxing,Boxing Men's Welterweight,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05254122806878513
AFG,Cycling Road,Women's Individual Time Trial,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AFG,Cycling Road,Women's Road Race,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6252302977186307
AFG,Judo,Judo Men's Half-Heavyweight,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.81,0.6033472372984787
AFG,Judo,Judo Men's Half-Lightweight,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10722699605874514
AFG,Judo,Judo Women's Middleweight,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05254122806878513
AFG,Judo,Men -81 kg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AFG,Shooting,10m Air Rifle Men,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Swimming,Men's 50m Freestyle,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Taekwondo,Men +80kg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Taekwondo,Taekwondo Men's Featherweight,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.18228589329986677
AFG,Taekwondo,Taekwondo Men's Flyweight,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0750588972411216
AFG,Taekwondo,Taekwondo Men's Welterweight,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10722699605874514
AFG,Wrestling,"Wrestling Men's Featherweight, Freestyle",1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05254122806878513
AHO,Athletics,Athletics Men's 100 metres,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08932008771693467
AHO,Athletics,Athletics Men's 110 metres Hurdles,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Athletics,Athletics Men's 200 metres,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12760012530990672
AHO,Athletics,Athletics Men's Long Jump,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025745201753704712
AHO,Athletics,Athletics Women's 800 metres,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03677885964814958
AHO,Equestrian,"Equestrian Mixed Three-Day Event, Individual",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03677885964814958
AHO,Judo,Judo Men's Middleweight,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025745201753704712
AHO,Sailing,Sailing Men's Windsurfer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Sailing,Sailing Mixed One Person Dinghy,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03677885964814958
AHO,Sailing,Sailing Women's Windsurfer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Shooting,"Shooting Men's Air Pistol, 10 metres",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0750588972411216
AHO,Shooting,Shooting Men's Double Trap,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Shooting,Shooting Men's Trap,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Shooting,Shooting Mixed Trap,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO,Swimming,Swimming Men's 100 metres Freestyle,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03677885964814958
AHO,Swimming,Swimming Men's 50 metres Freestyle,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10080409899482634
AHO,Triathlon,Triathlon Men's Olympic Distance,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIN,Canoeing,Men's Canoe Double 500m,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIN,Canoeing,Men's Canoe Single 1000m,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Canoeing,Men's Kayak Single 1000m,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Canoeing,Women's Canoe Single 200m,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6252302977186307
AIN,Cycling Road,Men's Individual Time Trial,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Cycling Road,Men's Road Race,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Cycling Road,Women's Individual Time Trial,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6252302977186307
AIN,Cycling Road,Women's Road Race,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.937845446577946
AIN,Gymnastics,Men,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Gymnastics,Women,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6252302977186307
AIN,Rowing,Men's Single Sculls,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Rowing,Women's Single Sculls,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Shooting,25m Pistol Women,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Shooting,50m Rifle 3 Positions Women,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Swimming,Men's 100m Breaststroke,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6252302977186307
AIN,Swimming,Men's 50m Freestyle,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Swimming,Women's 100m Backstroke,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Swimming,Women's 100m Breaststroke,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Swimming,Women's 200m Backstroke,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Swimming,Women's 200m Breaststroke,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Taekwondo,Men -58kg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Tennis,Men's Doubles,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIN,Tennis,Men's Singles,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.937845446577946
AIN,Tennis,Mixed Doubles,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIN,Tennis,Women's Doubles,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIN,Tennis,Women's Singles,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.937845446577946
AIN,Weightlifting,Men's 102kg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIN,Weightlifting,Women's 71kg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIN,Wrestling,Men's Freestyle 74kg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
AIN,Wrestling,Men's Greco-Roman 97kg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
ALB,Athletics,Athletics Men's 100 metres,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03677885964814958
ALB,Athletics,Athletics Men's Hammer Throw,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05254122806878513
ALB,Athletics,Athletics Men's Long Jump,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.81,0.6033472372984787
ALB,Athletics,Athletics Men's Shot Put,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10722699605874514
ALB,Athletics,"Athletics Women's 3,000 metres Steeplechase",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.81,0.6033472372984787
ALB,Athletics,Athletics Women's 400 metres,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03677885964814958
ALB,Athletics,Athletics Women's 400 metres Hurdles,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05254122806878513
ALB,Athletics,Athletics Women's Heptathlon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Athletics,Athletics Women's Javelin Throw,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025745201753704712
ALB,Athletics,Athletics Women's Triple Jump,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Athletics,Men's 100m,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31261514885931535
ALB,Athletics,Men's Long Jump,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Athletics,Women's 3000m Steeplechase,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Cycling,"Cycling Men's Road Race, Individual",1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025745201753704712
ALB,Gymnastics,Men's Pommel Horse,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,Judo,Judo Men's Half-Middleweight,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0750588972411216
ALB,Judo,Judo Women's Half-Lightweight,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10722699605874514
