NOC,Gold,Silver,Bronze,NoMedal,Medal
CHN,21.48339138357231,6.743675423409212,8.612614460914518,80.83930455502008,36.83968126789604
USA,14.228437682743476,9.106062853955278,10.80565306952983,130.47463778619758,34.14015360622859
RUS,11.047785057069797,9.743530336666801,7.695557544681387,110.30572012087347,28.48687293841798
JPN,9.0159312999269,2.5832357442678346,7.733993154510976,77.43758797324013,19.333160198705713
GBR,8.470733318753277,1.677999137629734,7.47570004636143,121.92152489739756,17.62443250274444
IRI,6.320367200327036,0.6007767506199085,4.21349176300617,8.81589230965502,11.134635713953113
KOR,5.736136365757985,1.373194825892083,6.183999747741268,57.345350655141544,13.293330939391335
PRK,4.567442261444723,0.0,0.43103202920165273,7.395160950252407,4.998474290646376
CUB,4.371899402042631,1.0016369439337625,2.589552760920305,28.61673124106882,7.963089106896699
MEX,4.225261941694746,0.6746180839099449,7.955213030067674,21.903336895574185,12.855093055672366
KAZ,4.024707683994496,8.081270143002989e-05,9.535372609936646,25.74337390318807,13.560161106632572
AUS,3.964593782619919,0.8000317059764165,6.999364999461369,95.01845193754218,11.763990488057704
AZE,3.6659163486317152,1.0395042947640234,3.7536981302068817,9.957001449755447,8.45911877360262
FRA,3.0267712135557883,1.8259115025546429,6.719546579527133,88.83596337917572,11.572229295637564
ESP,2.7978922146654726,1.5377293092784594,6.090870359938334,63.50256449618924,10.426491883882266
LTU,2.6431830333862725,0.0564815762735921,7.68763710052906,10.616009894705675,10.387301710188925
THA,2.407721879941406,0.0,0.7378314567326971,9.691010420433727,3.1455533366741033
BRA,2.319090669816934,1.7687644350378964,4.510041164092108,49.92327299591488,8.597896268946938
GER,2.3032520466304347,4.2401147769828125,7.32012732737333,105.5252121007358,13.863494150986577
ITA,2.225289996563091,1.802305568786171,6.16034494943862,75.27953968583029,10.187940514787883
ETH,2.135398439889148,0.6188930948977691,8.620640584033055,2.019816886050695,11.374932118819972
HUN,2.123124115712542,1.4442288274815767,7.8825475695239176,31.28993811950452,11.449900512718036
IND,2.0704125109180724,0.0,3.514975362659578,19.362321272945707,5.58538787357765
NED,2.0587108281602924,0.7010039538281365,6.536011668592093,38.22240407522464,9.295726450580522
COL,1.963129407141817,0.3319106777403963,3.5117627207538193,28.14728654486689,5.806802805636033
ROU,1.9003688955387985,0.3348789031175762,1.8578414892320565,33.945214773458254,4.093089287888431
UKR,1.8860235508508267,1.7428909328610176,5.837967389588718,80.9144315701547,9.466881873300562
