NOC,Sport,Event,Gold,Silver,Bronze,NoMedal
AFG,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.24466338629777856
AFG,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.43103202920165273
AFG,Boxing,Boxing Men's Flyweight,0.0,0.0,0.0,0.20732393359127624
AFG,Judo,Judo Men's Half-Lightweight,0.0,0.0,0.0,0.3319106777403963
AFG,Taekwondo,Taekwondo Men's Featherweight,0.0,0.0,0.0,0.3231835895501447
AFG,Taekwondo,Taekwondo Men's Welterweight,0.0,0.0,0.0,0.2853842753227308
ALB,Athletics,Athletics Men's Shot Put,0.0,0.0,0.43103202920165273,0.0
ALB,Judo,Judo Women's Half-Lightweight,0.0,0.0,0.0,0.3319106777403963
ALB,Shooting,"Shooting Men's Air Pistol, 10 metres",0.0,0.0,0.0,0.43103202920165273
ALB,Shooting,"Shooting Men's Free Pistol, 50 metres",0.0,0.0,0.0,0.43103202920165273
ALB,Swimming,Swimming Men's 100 metres Freestyle,0.0,0.0,0.32343015432623784,0.0
ALB,Swimming,Swimming Women's 100 metres Butterfly,0.0,0.0,0.32343015432623784,0.0
ALB,Weightlifting,Weightlifting Men's Lightweight,0.0,0.0,0.0,0.6007767506199085
ALB,Weightlifting,Weightlifting Men's Middle-Heavyweight,0.0,0.0,0.0,0.30038837530995427
ALB,Weightlifting,Weightlifting Women's Lightweight,0.0,0.0,0.0,0.29949897599859965
ALG,Athletics,"Athletics Men's 1,500 metres",0.0,0.4251944981035007,0.0,0.0
ALG,Athletics,"Athletics Men's 3,000 metres Steeplechase",0.0,0.0,0.0,0.43103202920165273
ALG,Athletics,"Athletics Men's 5,000 metres",0.0,0.0,0.0,0.43103202920165273
ALG,Athletics,Athletics Men's 800 metres,0.0,0.0,0.0,0.43103202920165273
ALG,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.43103202920165273
ALG,Athletics,Athletics Men's Triple Jump,0.0,0.0,0.0,0.43103202920165273
ALG,Athletics,Athletics Women's Marathon,0.0,0.0,0.0,0.37609773036681365
ALG,Boxing,Boxing Men's Bantamweight,0.0,0.0,0.20732393359127624,0.0
ALG,Boxing,Boxing Men's Flyweight,0.0,0.0,0.20732393359127624,0.0
ALG,Boxing,Boxing Men's Heavyweight,0.0,0.0,0.20732393359127624,0.0
ALG,Boxing,Boxing Men's Light-Flyweight,0.0,0.0,0.20732393359127624,0.0
ALG,Boxing,Boxing Men's Light-Heavyweight,0.0,0.0,0.0,0.19910561243940175
ALG,Boxing,Boxing Men's Lightweight,0.0,0.0,0.20732393359127624,0.0
ALG,Boxing,Boxing Men's Middleweight,0.0,0.0,0.20732393359127624,0.0
ALG,Boxing,Boxing Men's Welterweight,0.0,0.0,0.20732393359127624,0.0
ALG,Cycling,"Cycling Men's Road Race, Individual",0.0,0.0,0.0,0.39923259257683147
ALG,Fencing,"Fencing Women's Foil, Individual",0.0,0.0,0.0,0.37609773036681365
ALG,Fencing,"Fencing Women's Sabre, Individual",0.0,0.0,0.0,0.43103202920165273
