NOC,Sport,Event,Gold,Silver,Bronze,NoMedal
AFG,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.6816336671209684
AFG,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0257452017537047
AFG,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.7631154614260088
AFG,Athletics,Men's 100m,0.0,0.0,0.0,0.0
AFG,Athletics,Women's 100m,0.0,0.0,0.0,0.0
AHO,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0893200877169346
AHO,Athletics,Athletics Men's 110 metres Hurdles,0.0,0.0,0.0,0.0
AHO,Athletics,Athletics Men's 200 metres,0.0,0.0,0.0,0.1276001253099067
AHO,Athletics,Athletics Men's Long Jump,0.0,0.0,0.0,0.0257452017537047
AHO,Athletics,Athletics Women's 800 metres,0.0,0.0,0.0,0.0367788596481495
AHO,Judo,Judo Men's Middleweight,0.0,0.0,0.0,0.0257452017537047
AHO,Sailing,Sailing Men's Windsurfer,0.0,0.0,0.0,0.0
AHO,Sailing,Sailing Mixed One Person Dinghy,0.0,0.0,0.0,0.0367788596481495
AHO,Sailing,Sailing Women's Windsurfer,0.0,0.0,0.0,0.0
AHO,Shooting,"Shooting Men's Air Pistol, 10 metres",0.0,0.0,0.0,0.0750588972411216
AHO,Shooting,Shooting Men's Double Trap,0.0,0.0,0.0,0.0
AHO,Shooting,Shooting Men's Trap,0.0,0.0,0.0,0.0
AHO,Shooting,Shooting Mixed Trap,0.0,0.0,0.0,0.0
AHO,Swimming,Swimming Men's 100 metres Freestyle,0.0,0.0,0.0,0.0367788596481495
AHO,Swimming,Swimming Men's 50 metres Freestyle,0.0,0.0,0.0,0.1008040989948263
ALB,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0367788596481495
ALB,Athletics,Athletics Men's Hammer Throw,0.0,0.0,0.0,0.0525412280687851
ALB,Athletics,Athletics Men's Long Jump,0.0,0.0,0.0,0.6033472372984787
ALB,Athletics,Athletics Men's Shot Put,0.0,0.0,0.0,0.1072269960587451
ALB,Athletics,"Athletics Women's 3,000 metres Steeplechase",0.0,0.0,0.0,0.6033472372984787
ALB,Athletics,Athletics Women's 400 metres,0.0,0.0,0.0,0.0367788596481495
ALB,Athletics,Athletics Women's 400 metres Hurdles,0.0,0.0,0.0,0.0525412280687851
ALB,Athletics,Athletics Women's Heptathlon,0.0,0.0,0.0,0.0
ALB,Athletics,Athletics Women's Javelin Throw,0.0,0.0,0.0,0.0257452017537047
ALB,Athletics,Athletics Women's Triple Jump,0.0,0.0,0.0,0.0
ALB,Athletics,Men's 100m,0.0,0.0,0.0,0.3126151488593153
ALB,Athletics,Men's Long Jump,0.0,0.0,0.0,0.0
ALB,Athletics,Women's 3000m Steeplechase,0.0,0.0,0.0,0.0
ALB,Cycling,"Cycling Men's Road Race, Individual",0.0,0.0,0.0,0.0257452017537047
ALB,Shooting,10m Air Pistol Women,0.0,0.0,0.0,0.3126151488593153
ALB,Shooting,25m Pistol Women,0.0,0.0,0.0,0.3126151488593153
ALB,Shooting,"Shooting Men's Air Pistol, 10 metres",0.0,0.0,0.0,0.1072269960587451
ALB,Shooting,"Shooting Men's Free Pistol, 50 metres",0.0,0.0,0.0,0.1072269960587451
ALB,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",0.0,0.0,0.0,0.0
ALB,Shooting,"Shooting Women's Air Pistol, 10 metres",0.0,0.0,0.0,0.126549300748531
ALB,Shooting,"Shooting Women's Sporting Pistol, 25 metres",0.0,0.0,0.0,0.1008040989948263
ALB,Swimming,Men's 100m Freestyle,0.0,0.0,0.0,0.3126151488593153
ALB,Swimming,Swimming Men's 100 metres Breaststroke,0.0,0.0,0.0,0.0
ALB,Swimming,Swimming Men's 100 metres Freestyle,0.0,0.0,0.0,0.1072269960587451
ALB,Swimming,Swimming Men's 50 metres Freestyle,0.0,0.0,0.0,0.1276001253099067
ALB,Swimming,Swimming Women's 100 metres Butterfly,0.0,0.0,0.0,0.1072269960587451
ALB,Swimming,Swimming Women's 100 metres Freestyle,0.0,0.0,0.0,0.6033472372984787
ALB,Swimming,Swimming Women's 50 metres Freestyle,0.0,0.0,0.0,0.0525412280687851
ALB,Swimming,Women's 200m Freestyle,0.0,0.0,0.0,0.3126151488593153
ALB,Swimming,Women's 50m Freestyle,0.0,0.0,0.0,0.0
ALB,Weightlifting,Men's 73kg,0.0,0.0,0.0,0.0
ALB,Weightlifting,Men's 81kg,0.0,0.0,0.0,0.0
ALB,Weightlifting,Weightlifting Men's Featherweight,0.0,0.0,0.0,0.0525412280687851
ALB,Weightlifting,Weightlifting Men's Heavyweight II,0.0,0.0,0.0,0.0
ALB,Weightlifting,Weightlifting Men's Lightweight,0.0,0.0,0.0,0.2895128893586119
ALB,Weightlifting,Weightlifting Men's Middle-Heavyweight,0.0,0.0,0.0,0.1072269960587451
ALB,Weightlifting,Weightlifting Men's Middleweight,0.0,0.0,0.0,0.1533453270636114
ALB,Weightlifting,Weightlifting Women's Featherweight,0.0,0.0,0.0,0.6033472372984787
ALB,Weightlifting,Weightlifting Women's Lightweight,0.0,0.0,0.0,0.0750588972411216
ALB,Wrestling,Men's Freestyle 57kg,0.0,0.0,0.0,0.3126151488593153
ALB,Wrestling,Men's Freestyle 65kg,0.0,0.0,0.0,0.3126151488593153
ALB,Wrestling,Men's Freestyle 74kg,0.0,0.0,0.0,0.3126151488593153
ALB,Wrestling,"Wrestling Men's Heavyweight, Freestyle",0.0,0.0,0.0,0.0257452017537047
ALB,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",0.0,0.0,0.0,0.0750588972411216
ALB,Wrestling,"Wrestling Men's Lightweight, Freestyle",0.0,0.0,0.0,0.0525412280687851
ALG,Athletics,"Athletics Men's 1,500 metres",0.0,0.0,0.0,0.9374772797171343
ALG,Athletics,"Athletics Men's 10,000 metres",0.0,0.0,0.0,0.0367788596481495
ALG,Athletics,Athletics Men's 20 kilometres Walk,0.0,0.0,0.0,0.1118377568892712
ALG,Athletics,Athletics Men's 200 metres,0.0,0.0,0.0,0.0525412280687851
ALG,Athletics,"Athletics Men's 3,000 metres Steeplechase",0.0,0.0,0.0,2.1184265525603867
ALG,Athletics,Athletics Men's 4 x 400 metres Relay,0.0,0.0,0.0,0.03677885964814957
ALG,Athletics,Athletics Men's 400 metres,0.0,0.0,0.0,0.1150652894706393
ALG,Athletics,Athletics Men's 400 metres Hurdles,0.0,0.0,0.0,1.2066944745969574
ALG,Athletics,"Athletics Men's 5,000 metres",0.0,0.0,0.0,0.2748335135981697
ALG,Athletics,Athletics Men's 800 metres,0.0,0.0,0.0,1.5040456573674634
ALG,Athletics,Athletics Men's Decathlon,0.0,0.0,0.0,0.6033472372984787
ALG,Athletics,Athletics Men's High Jump,0.0,0.0,0.0,0.0367788596481495
ALG,Athletics,Athletics Men's Long Jump,0.0,0.0,0.0,0.0
ALG,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.5083240145102077
ALG,Athletics,Athletics Men's Triple Jump,0.0,0.0,0.0,0.1072269960587451
ALG,Athletics,"Athletics Women's 1,500 metres",0.0,0.0,0.0,0.0893200877169346
ALG,Athletics,"Athletics Women's 10,000 metres",0.0,0.0,0.0,0.0893200877169346
ALG,Athletics,Athletics Women's 20 kilometres Walk,0.0,0.0,0.0,0.0
ALG,Athletics,"Athletics Women's 3,000 metres Steeplechase",0.0,0.0,0.0,0.6033472372984787
