NOC,Weight,Medal,Gold,Silver,Bronze,NoMedal
USA,2.0,260.04120457220336,175.19648491121714,30.695275043021702,54.1494446179645,209.97842235943534
RUS,0.0,151.38366743952056,131.13755474247046,11.557543932644426,8.68856876440568,230.77208773559877
GBR,1.0,125.78163890659987,116.14011073578794,0.409139622764557,9.232388548047366,195.38863812303154
JPN,1.0,109.10551139119605,95.11695934054607,3.3220265568769496,10.66652549377302,158.67148467610517
UKR,0.0,98.59607695483957,89.56288077791427,4.575501469224697,4.457694707700613,156.34549624420768
GER,1.0,140.10057424448644,89.40339312026924,13.685470623981805,37.011710500235395,176.77794013884204
AUS,1.0,96.58680243979434,82.02118250381321,1.1831401150247567,13.382479820956377,196.2820098028801
CHN,1.0,115.23681384651636,81.37978467577025,15.01873295377411,18.838296216971997,167.85031159305004
FRA,1.0,100.26097682662143,80.91917689288864,2.1809258413593784,17.160874092373405,185.63309359231138
ITA,1.0,81.56393588482938,73.74759526060627,0.7773119496952783,7.039028674527828,149.79555473277688
CAN,0.5,92.12258203543743,73.65718897079712,3.8979355963868745,14.567457468253433,157.98179617061527
ESP,0.5,86.70304298784748,69.92066552030961,4.942255677615944,11.840121789921923,122.2504278537708
KOR,1.0,109.06831728770464,69.27257864548548,16.421100352016794,23.374638290202377,88.3475671536365
POL,0.0,79.62970592908769,57.42582083463437,7.206414691190734,14.997470403262575,92.18517972268678
BLR,0.0,60.54685599243364,56.62517636028008,0.6141412608606933,3.307538371292871,82.94681515566846
KAZ,0.0,63.33662461751884,51.48989380582006,7.919410681031237,3.92732013066754,54.65798605728125
BRA,0.0,63.84408254741771,49.51231199565959,3.852850960973879,10.47891959078424,92.43392450519875
CZE,0.0,46.17670466904241,43.28931791214452,0.6072566825881006,2.2801300743097874,69.19322793410072
CUB,0.0,62.42513551375917,42.803849080326685,6.378464169143729,13.242822264288758,45.11709291955504
HUN,0.5,65.88491239838504,39.66884146203666,8.824679198111417,17.39139173823696,56.10916343054558
NED,1.0,48.195031491917476,35.706505651777675,1.9674745832678497,10.521051256871953,75.37720065865983
MEX,0.0,37.97427314323975,35.47503330746196,0.7048650586807979,1.7943747770969936,56.97445564429458
COL,0.0,35.01096630215265,33.97389656105663,0.005247310750872592,1.0318224303451489,47.52588144169714
POR,0.0,33.09526293913336,31.43208835961798,0.3609701507535346,1.3022044287618502,45.249195266178305
ROU,0.0,38.66782634060852,30.764060081276604,0.8266444155843033,7.077121843747615,79.89045878109383
EGY,0.0,32.385616174996564,30.74422779762862,0.005743225290602289,1.6356451520773436,54.22464162489646
TUR,0.0,38.83668031078622,29.986109945918404,3.135679308164555,5.714891056703266,46.17457213120414
NZL,0.5,33.09973604473974,28.09694198418382,0.12808244350847053,4.874711617047448,62.84229314922648
GRE,0.0,48.96795681876657,27.54292165109133,9.644639044102808,11.780396123572432,59.32221091269909
SUI,0.0,30.64770115809064,27.31400156954938,0.006769720346114645,3.3269298681951485,61.639246928791174
DEN,0.0,35.44720296905547,26.995724712621275,1.4978308913664609,6.953647365067731,46.399920275776545
IND,0.0,27.580618513699036,26.588603197516367,0.004156179552149622,0.9878591366305178,37.07823612393906
