NOC,Weight,TotalScore,Gold,Silver,Bronze,NoMedal
CHN,1.0,38.31444323263986,21.52786283061916,7.262054254016665,9.524526148004036,134.5309563716075
USA,2.0,35.01476616390846,14.279641514549052,9.404490094539925,11.330634554819486,215.37570196390664
RUS,0.0,28.48687293841798,11.047785057069795,9.7435303366668,7.695557544681387,110.30572012087347
JPN,1.0,19.83021828539202,9.030920086530925,2.7579516617380726,8.041346537123024,127.14339664187126
GBR,1.0,18.16942491225585,8.487167564862094,1.8695639695729933,7.812693377820761,176.4207658485382
NED,1.0,15.616746540321014,7.971942736384637,0.8487982362164829,6.796005567719894,80.26914159680254
IRI,0.0,11.136980327569558,6.32043790215064,0.6016008823060889,4.21494154311283,13.50511954254475
KOR,1.0,17.192423383539147,5.853713498411262,2.743725820010038,8.594984065117846,82.53692140072137
THA,0.0,6.347272719992829,5.607773727945382,0.0006043632365322713,0.7388946288109149,13.129777057886196
ESP,0.5,13.015624048942154,5.202493327410968,1.6042092652970092,6.208921456234176,101.3289975081664
PRK,0.0,5.937726505394188,4.595765411980444,0.3301471534838562,1.0118139399298889,10.208697289986244
CUB,0.0,7.967465718980728,4.372031378780025,1.0031753230812992,2.5922590171194044,37.369955409129645
MEX,0.0,12.864054689939666,4.225532179776076,0.677768098354901,7.960754411808688,39.82660543017493
KAZ,0.0,13.569018535850251,4.024974779772555,0.003194199071444761,9.540849557006252,43.458232338549266
AUS,1.0,12.280847534171773,3.9801796068454887,0.9817069576855114,7.318960969640772,146.704156548949
AZE,0.0,8.461932309942355,3.66600119082004,1.0404932527874398,3.7554378663348746,15.584074129223124
FRA,1.0,11.572229295637564,3.0267712135557883,1.8259115025546429,6.719546579527133,88.83596337917572
LTU,0.0,10.38964632380537,2.643253735209876,0.05730570795977247,7.68908688063572,15.305237127595406
GER,1.0,14.438706024887717,2.3205975606879234,4.442301750659063,7.67580671354073,163.0463994908498
BRA,0.0,8.61360518017712,2.3195643720350803,1.7742861173353048,4.519754690806734,81.34109545627607
ITA,1.0,10.874912304406228,2.246005630879032,2.0437761528370193,6.585130520690177,143.97671864766482
ETH,0.0,11.378370885457425,2.1355021358971005,0.6201018213708337,8.62276692818949,8.897350160955632
HUN,0.5,11.57103888290102,2.1260711094131683,1.486808964600896,7.958158808886956,55.51761215610146
IND,0.0,5.5965638651493705,2.0707495229439177,0.003928361037459764,3.5218859811679937,41.71430441638675
COL,0.0,5.8110231101456336,1.963256670424304,0.33339411477552094,3.5143723249458088,36.587895564068404
ROU,0.0,4.1011130767091535,1.9006108528906873,0.3376992648880601,1.862802958930406,49.99279241490311
UKR,0.0,9.478917556531645,1.8863864868786602,1.7471214755167435,5.845409594136242,104.98579803232198
SLO,0.0,11.111156926923398,1.7340347901206068,0.5834953152326602,8.79362682157013,21.089025524749484
CZE,0.0,6.409381140890378,1.6548590866314459,0.6105225703162213,4.143999483942711,53.37129269577731
CAN,0.5,12.14390817335849,1.6073903619014707,2.330066212474456,8.206451598982563,132.23552494606537
SWE,0.0,6.1071385899753725,1.5867222609837184,0.30861779965443137,4.211798529337223,43.99294722098639
NOR,0.0,5.984413776728029,1.5382029129344228,0.2464215338949633,4.1997893298986435,22.709491798202745
IRL,0.0,12.731598081471853,1.4461591622514036,1.9425954700792012,9.342843449141249,21.998472851096935
POL,0.0,7.771118252930629,1.2822267827041591,0.5981866665249413,5.890704803701529,94.81523431154162
TJK,0.0,1.920546841497813,1.2672365193712187,0.23808254290137745,0.4152277792252167,4.490022270969316
TUR,0.0,2.8863971423427093,1.2306714481816687,0.0023075687213050355,1.6534181254397355,43.57100587296697
TUN,0.0,7.578752954319802,1.0994573400362626,1.2940502699794234,5.185245344304115,12.025394366059132
LAT,0.0,3.358466406780389,0.9900404427245539,0.3575292569324906,2.010896707123344,17.37646440273874
JAM,0.0,1.234677030891146,0.9816296973715074,0.0035712373067816037,0.24947609621285713,36.089590533412334
UZB,0.5,5.924021772527787,0.942701404749975,1.6815302336667914,3.2997901341110203,24.636732980785244
EGY,0.0,11.82713320598683,0.8563735727730002,0.0025731222646298217,10.968186510949199,36.81778486330156
BLR,0.0,4.7679596490179055,0.850982336232777,0.0,3.916977312785128,42.28730216734606
ARG,0.0,6.319506214852086,0.8229747802186229,0.0010988422482404933,5.495432592385223,25.84632270182377
DEN,0.0,7.418706488670989,0.7895584798158265,0.8418303978466212,5.787317611008541,32.534857806111106
ZIM,0.0,0.761036988779007,0.759975829942348,0.00038459478688417266,0.0006765640497749467,4.450945700004365
CRO,0.0,6.96896146642041,0.7484503606288849,0.28622672104638186,5.934284384745143,21.173970514930218
DOM,0.0,3.0442377566783216,0.6960155214245637,0.0007691895737683453,2.34745304567999,8.571653598139884
BEL,0.0,3.7206513386886138,0.672178463466974,0.004514410236521361,3.0439584649851184,53.95978194877281
KEN,0.0,5.082038659344134,0.6656669780024828,1.58388264898306,2.832489032358591,26.090664146055445
TPE,0.0,3.904159139424211,0.6575789651438442,1.187996210212777,2.05858396406759,21.730638870169603
EST,0.0,4.835829162523323,0.6432578328544256,0.000937301177564648,4.1916340284913325,8.786321855613762
MDA,0.0,2.112706552492155,0.6342172749854902,0.000494479011708222,1.4779947984949564,7.788755871758829
NZL,0.5,6.473442411055183,0.5520160673255535,1.4193999544384923,4.502026389291137,39.70660897231495
SVK,0.0,6.240392085677097,0.4477352388972511,0.3748340718365229,5.417822774943323,16.694821470428877
GEO,0.0,6.226719142699178,0.43186198012978133,3.791271412135239,2.0035857504341577,8.856827778128448
POR,0.0,4.124633039524337,0.4311922866684882,0.0018680318220088386,3.6915727210338396,38.608095757394366
GUA,0.0,0.4286908640353062,0.42717492284007885,0.0005494211241202465,0.0009665200711070666,11.042642692082676
UGA,0.0,0.42738280414551594,0.42526048647219766,0.0007691895737683453,0.0013531280995498934,10.276507923073321
GRN,0.0,2.1494789224845414,0.4251992115584076,5.4942112412024666e-05,1.7242247688137216,1.2975273088750976
PUR,0.0,6.650919606709907,0.4001159651077405,0.375163724510995,5.8756399170911715,8.449720707232782
CYP,0.0,0.8187964990294162,0.3867033109911044,0.00038459478688417266,0.43170859325142763,5.381131832681383
