NOC,Weight,TotalScore,Gold,Silver,Bronze,NoMedal
USA,1.0,91.86714774170413,27.63935514293241,28.334958446770635,35.892834152001086,316.0216083346756
CHN,1.0,46.83522513801768,26.08054815737767,7.110006248661583,13.64467073197842,233.05518510911435
JPN,1.0,30.98694930777522,18.7309850952351,7.877379980727937,4.378584231812183,253.3105825243992
KOR,1.0,18.40402400805977,11.489497448892298,1.316165917571181,5.598360641596292,103.1558111587253
GBR,1.0,48.1742823617221,9.35000847025901,10.564162188677843,28.260111702785245,217.65091245949662
KAZ,0.0,14.110237560311987,9.193798307595301,1.666797616387767,3.2496416363289193,51.276055434515555
GER,1.0,16.40296486654715,7.523060413088249,4.860204611389755,4.019699842069148,300.15512080167593
FRA,1.0,14.896731191115862,7.245628221688893,4.24451031083541,3.40659265859156,289.42313464082946
IRI,0.0,7.060119901857183,6.329912655613723,0.5557070332259352,0.17450021301752555,16.107255587975814
NZL,0.5,21.770621303832993,5.980404398224483,3.521266432835312,12.268950472773199,83.5421866702826
ITA,1.0,21.967501461706423,5.96206466107493,4.81391588945553,11.191520911175964,284.73466248484226
CAN,0.5,15.12101376489676,4.931973159977661,3.6472211106395047,6.541819494279595,246.96131103863937
UZB,0.5,7.625373944152706,4.896966332507646,1.582976004608177,1.1454316070368835,48.65129536909466
AUS,1.0,29.087879395248997,4.686986608477655,6.997117957986909,17.403774828784435,277.5931329362246
HUN,0.5,9.269899069675938,4.479914365614825,3.437759158727499,1.352225545333615,115.51451253130855
BRA,0.0,15.632992768762637,4.4772872183352055,3.1759957724061016,7.9797097780213315,169.31945270707408
ESP,0.5,12.61692434381078,3.9060264336376016,2.283068331305099,6.42782957886808,227.72450610550257
UAE,0.0,3.876395738352491,3.8706842595828315,0.0013786328064695804,0.004332845963190111,6.087804532701268
NED,1.0,16.987138295569014,3.6529285170822123,5.5646738941481555,7.769535884338645,203.16738293846421
PRK,0.0,4.108412098866423,3.3602241098945784,0.7426171870191715,0.005570801952673,6.404684123737963
THA,0.0,5.344303489718525,3.2595727895869686,0.6192266711135702,1.4655040290179868,22.57990418938807
SRB,0.0,9.900603215165972,2.9931957881958033,0.003742003331846003,6.903665423638323,49.39769427587578
AZE,0.0,3.694908039338251,2.978927438583791,0.7060769528385967,0.00990364791586311,20.321071163880596
CUB,0.0,4.22411130439807,2.827708667099924,0.006499268944785165,1.3899033683533601,32.10674358670379
ECU,0.0,2.5870966689702155,2.2695738573512823,0.00413589841940874,0.31338691319952455,21.26212950053597
MDA,0.0,4.417971170784991,2.2192179668804983,0.4311220255094108,1.767631178395082,8.714211968154881
CRO,0.0,7.1193062513787835,2.146485097794448,0.37597613246210976,4.596845021122226,32.544945481034446
TUR,0.0,3.667627252014379,2.1360700343213037,0.6187470523147334,0.9128101653783419,78.6401652602291
IND,0.0,4.327565754241861,1.804831144923459,0.07933703555326133,2.4433975737651403,73.20051915091057
CZE,0.0,3.596740343687559,1.7091146520814506,0.05317583682096953,1.834449854785139,76.39272537979198
KEN,0.0,4.592819378892399,1.6677831704798811,0.8627243209646182,2.0623118874478994,41.30156873287336
AUT,0.0,8.11051067536272,1.6172965314041752,2.2651454486523557,4.228068695306189,52.671950134062946
SLO,0.0,6.918252080961817,1.5888786462414388,0.12296091650083445,5.206412518219543,46.26485124637711
POL,0.0,4.693202944110354,1.5865115254985345,0.6971253546834689,2.40956606392835,150.61707355396564
COL,0.0,4.6428013113348605,1.5620666661502922,0.06315451237255888,3.0175801328120095,46.94539508477287
AIN,0.0,2.0581443458001556,1.5335157111565656,0.1936744631728116,0.3309541714707784,24.18013193399149
GEO,0.0,2.988038369357965,1.491220558494689,0.002757265612939161,1.4940605452503368,14.186175997033784
CHI,0.0,1.9172117955877872,1.413834368637112,0.017462682215281352,0.4859147447353941,24.311465350672126
VIE,0.0,1.5703194502316127,1.398975087141822,0.04135898419408741,0.12998537889570333,8.932013652995728
MEX,0.0,3.235881162014509,1.3521604582817828,0.3588924912384438,1.5248282124942825,74.23696092887255
NOR,0.0,5.890169521020138,1.2580113292086186,0.39455485075881885,4.237603341052701,57.431704475219405
UKR,0.0,5.482254628413823,1.2103397610039153,0.3790611036718895,3.8928537637380183,98.63636920989323
ETH,0.0,3.589298780980146,1.16517106153336,1.5156743491645928,0.9084533702821934,12.962728892051905
PAK,0.0,1.1220875361145128,1.1171919828833758,0.0011816852626882117,0.003713867968448667,4.998874779348606
PHI,0.0,2.6444913126122374,1.0985084708299069,0.005514531225878322,1.540468310556452,20.795539104479307
TUN,0.0,2.3081591328730107,0.9297769279268192,1.061045549359725,0.3173366555864666,11.054637090806718
BUL,0.0,3.398995076658682,0.9000801784977206,0.35830141610426164,2.1406134820566995,30.35898981364664
ARM,0.0,2.667338957910955,0.882012874083243,1.66029252888994,0.1250335549377718,4.102441186317626
SWE,0.0,6.374278356296413,0.8767794291730843,2.5204212853212256,2.9770776418021034,76.38924006638385
BRN,0.0,3.022003656159409,0.8578683292273936,0.0021664229815950547,2.16196890395042,6.22766944755392
LCA,0.0,1.2886347605985755,0.8543390292428316,0.0007877901751254744,0.4335079411806185,1.9969216472404785
