Sport,NOC,First Year,p_max,a_max,alpha,beta
Athletics,AFG,1960,1.0,1.0,0.243438091,0.05
Athletics,AFG,1996,1.0,1.0,0.243438091,0.05
Athletics,AFG,2004,1.2304838075,1.0,0.18086850175,0.05
Athletics,AFG,2012,1.0,1.0,0.243438091,0.05
Athletics,AFG,2016,1.0,1.0,0.243438091,0.05
Athletics,AFG,2020,1.382452282,1.0,0.1467190455,0.05
Boxing,AFG,1980,1.0,1.0,0.5,0.05000000000000001
Boxing,AFG,2004,1.0,1.0,0.5,0.05
Boxing,AFG,2012,1.0,1.0,0.5,0.05
Cycling Road,AFG,2024,1.0,1.0,0.5,0.05000000000000001
Hockey,AFG,1956,1.0,1.0,0.5,0.05000000000000001
Judo,AFG,2004,1.0,1.0,0.5,0.05
Judo,AFG,2012,1.0,1.0,0.5,0.05
Judo,AFG,2016,1.0,1.0,0.5,0.05
Judo,AFG,2024,1.0,1.0,0.5,0.05
Shooting,AFG,2020,1.0,1.0,0.5,0.05
Swimming,AFG,2020,1.382452282,1.0,0.1340042885,0.05
Taekwondo,AFG,2008,2.5,1.0,0.5,0.05
Taekwondo,AFG,2012,2.5,1.0,0.5,0.05
Taekwondo,AFG,2020,1.0,1.0,0.5,0.05
Wrestling,AFG,1960,1.0546360402857142,1.0,0.22993070462499998,0.05
Wrestling,AFG,1964,1.0325888025714287,1.0,0.23657414855555553,0.05
Wrestling,AFG,1968,1.0956130705,1.0,0.2145080728,0.05
Wrestling,AFG,1972,1.0,1.0,0.255635091,0.05000000000000001
Wrestling,AFG,1980,1.0,1.0,0.255635091,0.05
Wrestling,AFG,1988,1.0,1.0,0.255635091,0.05
Wrestling,AFG,2004,1.0,1.0,0.255635091,0.05
Athletics,AHO,1976,1.0,1.0,0.5,0.05
Athletics,AHO,1984,1.0,1.0,0.5,0.05000000000000001
Athletics,AHO,1992,1.0,1.0,0.5,0.05
Athletics,AHO,1996,1.0,1.0,0.5,0.05
Athletics,AHO,2000,1.0,1.0,0.5,0.05
Athletics,AHO,2004,1.0,1.0,0.5,0.05
Equestrian,AHO,1972,0.297231253,1.0,0.800155285,0.05
Fencing,AHO,1964,1.382452282,1.0,0.1340042885,0.05
Fencing,AHO,1968,1.0,1.0,0.218008577,0.05
Football,AHO,1952,1.0,1.0,0.5,0.05
Judo,AHO,1976,1.0,1.0,0.5,0.05
Judo,AHO,1996,1.0,1.0,0.5,0.05
Sailing,AHO,1988,6.0,1.0,0.218008577,0.05
Sailing,AHO,1992,1.191226141,1.0,0.162005718,0.05000000000000001
Sailing,AHO,1996,1.0,1.0,0.218008577,0.05
Sailing,AHO,2000,1.0,1.0,0.218008577,0.05
Shooting,AHO,1972,1.0,1.0,0.218008577,0.05
