Name,Sex,Team,NOC,Year,City,Sport,Event,Medal,Division
Agustn Mazzilli,M,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold,18
Facundo Callioni,M,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold,18
Gonzalo Peillat,M,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold,18
Juan Lpez,M,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold,18
Juan Vivaldi,M,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold,18
Lucas Rey,M,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold,18
Lucas Rossi,M,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold,18
Lucas Vila,M,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold,18
Manuel Brunet,M,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold,18
Matas Paredes,M,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold,18
Pedro Ibarra,M,Argentina,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold,18
Bruna Soares,F,Brazil,BRA,2016,Rio de Janeiro,Football,Football Women's Football,No medal,18
Cristiane Silva,F,Brazil,BRA,2016,Rio de Janeiro,Football,Football Women's Football,No medal,18
Fabiana Simes,F,Brazil,BRA,2016,Rio de Janeiro,Football,Football Women's Football,No medal,18
Marta Silva,F,Brazil,BRA,2016,Rio de Janeiro,Football,Football Women's Football,No medal,18
Miraildes Mota,F,Brazil,BRA,2016,Rio de Janeiro,Football,Football Women's Football,No medal,18
Neymar Jnior,M,Brazil,BRA,2012,London,Football,Football Men's Football,Silver,18
rika Santos,F,Brazil,BRA,2016,Rio de Janeiro,Football,Football Women's Football,No medal,18
Christine Sinclair,F,Canada,CAN,2012,London,Football,Football Women's Football,Bronze,18
Christine Sinclair,F,Canada,CAN,2016,Rio de Janeiro,Football,Football Women's Football,Bronze,18
Desiree Scott,F,Canada,CAN,2012,London,Football,Football Women's Football,Bronze,18
Desiree Scott,F,Canada,CAN,2016,Rio de Janeiro,Football,Football Women's Football,Bronze,18
Diana Matheson,F,Canada,CAN,2012,London,Football,Football Women's Football,Bronze,18
Diana Matheson,F,Canada,CAN,2016,Rio de Janeiro,Football,Football Women's Football,Bronze,18
Melissa Tancredi,F,Canada,CAN,2012,London,Football,Football Women's Football,Bronze,18
Melissa Tancredi,F,Canada,CAN,2016,Rio de Janeiro,Football,Football Women's Football,Bronze,18
Rhian Wilkinson,F,Canada,CAN,2012,London,Football,Football Women's Football,Bronze,18
Rhian Wilkinson,F,Canada,CAN,2016,Rio de Janeiro,Football,Football Women's Football,Bronze,18
Sophie Schmidt,F,Canada,CAN,2012,London,Football,Football Women's Football,Bronze,18
Sophie Schmidt,F,Canada,CAN,2016,Rio de Janeiro,Football,Football Women's Football,Bronze,18
Andrs Bel,M,Spain,ESP,2012,London,Hockey,Hockey Men's Hockey,No medal,18
David Biosca,M,Spain,ESP,2012,London,Hockey,Hockey Men's Hockey,No medal,18
Francisco Juncosa,M,Spain,ESP,2012,London,Hockey,Hockey Men's Hockey,No medal,18
Manel Farre,M,Spain,ESP,2012,London,Hockey,Hockey Men's Hockey,No medal,18
Marc Esteve,M,Spain,ESP,2012,London,Hockey,Hockey Men's Hockey,No medal,18
Miguel Andrs,M,Spain,ESP,2012,London,Hockey,Hockey Men's Hockey,No medal,18
Pau Cadafalch,M,Spain,ESP,2012,London,Hockey,Hockey Men's Hockey,No medal,18
Roc Isern,M,Spain,ESP,2012,London,Hockey,Hockey Men's Hockey,No medal,18
Sergi Montserrat,M,Spain,ESP,2012,London,Hockey,Hockey Men's Hockey,No medal,18
Xavier Blanco,M,Spain,ESP,2012,London,Hockey,Hockey Men's Hockey,No medal,18
Oribe Morones,M,Mexico,MEX,2016,Rio de Janeiro,Football,Football Men's Football,No medal,18
Charlotta Schelin,F,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,Silver,18
Emma Berglund,F,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,Silver,18
Eva Jakobsson,F,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,Silver,18
Kosovare Asllani,F,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,Silver,18
Linda Sembrant,F,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,Silver,18
Lisa Dahlkvist,F,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,Silver,18
Rut Lindahl,F,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,Silver,18
Sara Seger,F,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,Silver,18
sa Fischer,F,Sweden,SWE,2016,Rio de Janeiro,Football,Football Women's Football,Silver,18
Neymar Jnior,M,Brazil,BRA,2016,Rio de Janeiro,Football,Football Men's Football,Gold,17
Cui Qiuxia,F,China,CHN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,17
De Jiaojiao,F,China,CHN,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,17
