NOC,Sport,Event,Gold,Silver,Bronze,NoMedal
AFG,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3761133749233709
AHO,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.4291226425300205
ALB,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
ANG,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
ANT,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.2524250838411886
ARG,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3003858497710144
ARU,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.2524250838411886
ASA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.5373048213191014
AUS,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.7648480040388014
AUT,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
AZE,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.6609931124012838
BAH,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.4842955537124517
BAN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.7367206375536404
BAR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.6079838447946342
BEL,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
BEN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3761133749233709
BER,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3761133749233709
BIZ,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
BOL,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
BRA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,1.6274205762504057
BRN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
BRU,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
BUL,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.5373048213191014
BUR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
CAF,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3606072626302694
CAM,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.2524250838411886
CAN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,1.0371064873246545
CAY,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
CGO,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3606072626302694
CHA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
CHN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.7367206375536404
CIV,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.5528109336122029
CMR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.4770834084598463
COK,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.78972990516029
COL,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3606072626302694
COM,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.6609931124012838
CRC,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
CRO,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
CUB,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.5373048213191014
CYP,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3761133749233709
CZE,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3606072626302694
DOM,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3761133749233709
ECU,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3606072626302694
ESA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3003858497710144
ESP,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.7316721358768166
EUN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
FIJ,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
FIN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
FRA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,1.5419566550070318
FSM,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.613032346471458
GAB,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.5528109336122029
GAM,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.7367206375536404
GBR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,2.1117161299628573
GBS,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.6609931124012838
GEO,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
GEQ,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.4842955537124517
GER,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.7367206375536404
GHA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.6537809671486784
GRE,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.5477624319353791
GRN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
GUA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
GUI,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3761133749233709
GUM,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
HAI,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
HKG,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.5373048213191014
HON,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3606072626302694
HUN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.5048501676823772
INA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.8906999386967653
IRL,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3003858497710144
ISR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
ISV,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3761133749233709
ITA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,1.213804046013487
JAM,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,1.895351772384696
JOR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.2524250838411886
JPN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,1.3905016047023186
KAZ,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.4998016660055533
KEN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
KGZ,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
KIR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.613032346471458
KOR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
KSA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3761133749233709
KUW,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
LAO,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.78972990516029
LAT,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
LBA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
LBR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.2473765821643647
LCA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
LES,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
MAD,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
MAS,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
MDV,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.613032346471458
MHL,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3606072626302694
MLI,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
MLT,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3761133749233709
MON,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.2524250838411886
MRI,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3003858497710144
MTN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
NAM,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.4291226425300205
NCA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.2524250838411886
NGR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,1.4507230175615735
NIG,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3003858497710144
NOR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3606072626302694
NZL,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.2473765821643647
OMA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3606072626302694
PAK,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
PAN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
PAR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.2524250838411886
PER,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
PLW,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.5373048213191014
PNG,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
POL,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.9664274638491218
POR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3761133749233709
QAT,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3606072626302694
ROU,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
RSA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
RUS,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.5528109336122029
SEN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
SEY,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.5373048213191014
SGP,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.613032346471458
SKN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
SLE,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.4291226425300205
SLO,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.2524250838411886
SMR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.2524250838411886
SOL,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.2524250838411886
SRI,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
STP,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3761133749233709
SUD,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
SUI,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
SUR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.5373048213191014
SWE,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3710648732465472
SWZ,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
TGA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.613032346471458
THA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
TOG,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
TPE,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
TTO,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,1.1503371677905594
TUV,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3606072626302694
UGA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
UKR,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.784681403483466
URU,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.176697558688832
USA,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,2.063755364033032
UZB,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.1236882910821823
VAN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.5373048213191014
VIE,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.3003858497710144
VIN,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.4842955537124517
ZIM,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0
AFG,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
ALG,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.933972810212398
AND,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
ANG,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.176697558688832
ARG,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3003858497710144
ARU,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.176697558688832
AUS,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.1056218672244058
AUT,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.176697558688832
BDI,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.8052360174533916
BEL,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
BIH,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.4770834084598463
BIZ,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
BLR,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.613032346471458
BOL,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3003858497710144
BOT,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.4291226425300205
BRA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,2.010746096426382
BRN,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.9736396091017274
BUL,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.2473765821643647
CAF,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
CAM,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.4842955537124517
CAN,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3710648732465472
CHI,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.4842955537124517
CHN,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.8390970394143733
CMR,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
COD,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
COL,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.5528109336122029
CPV,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.4842955537124517
CRC,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
CUB,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.2524250838411886
