NOC,Gold,Silver,Bronze,NoMedal,Medal,,,,,,,,,,,
USA,49.00213396,42.06212222,34.59414135,130.4746378,125.6583975,,,,,,,,,,,
CHN,39.8771103,20.44054036,23.89636345,80.83930456,84.21401411,,,,,,,,,,,
GBR,19.32499131,18.5756024,17.31292717,121.9215249,55.21352088,,,,,,,,,,,
JPN,18.99259556,10.45080608,19.5666453,77.43758797,49.01004694,,,,,,,,,,,
KOR,14.97966879,4.769100153,10.56069224,57.34535066,30.30946119,,,,,,,,,,,
GER,12.50829045,14.25698737,16.77254371,105.5252121,43.53782153,,,,,,,,,,,
AUS,10.21237046,6.706794076,12.94026351,95.01845194,29.85942805,,,,,,,,,,,
FRA,8.662557312,14.05065552,14.77982213,88.83596338,37.49303496,,,,,,,,,,,
IRI,7.983080043,0.65516507,5.685469172,8.81589231,14.32371429,,,,,,,,,,,
ITA,7.8793955,7.739684831,12.75789944,75.27953969,28.37697977,,,,,,,,,,,
NED,7.152470919,5.740008967,10.8839868,38.22240408,23.77646669,,,,,,,,,,,
CUB,6.948747455,2.182845136,3.914514972,28.61673124,13.04610756,,,,,,,,,,,
ESP,6.868040397,5.166635944,7.005786853,63.5025645,19.04046319,,,,,,,,,,,
PRK,6.071462809,2.18106,2.651113359,7.39516095,10.90363617,,,,,,,,,,,
JAM,5.977547523,3.089835,1.355740043,15.76960586,10.42312257,,,,,,,,,,,
BRA,5.918234124,7.926805679,8.189925191,49.923273,22.03496499,,,,,,,,,,,
HUN,5.859553042,4.846564863,10.5045821,31.28993812,21.21070001,,,,,,,,,,,
KAZ,5.479594471,3.271678129,18.03231989,25.7433739,26.78359249,,,,,,,,,,,
AZE,5.088321756,2.224140619,12.81776042,9.95700145,20.1302228,,,,,,,,,,,
THA,4.806752942,1.09053,2.985687339,9.69101042,8.88297028,,,,,,,,,,,
MEX,4.607774905,0.735691259,8.675398466,21.9033369,14.01886463,,,,,,RUS,25.14641804,25.67492614,22.25455041,110.3057201,73.07589458
KEN,3.997314203,4.996464904,4.175228188,13.58605819,13.1690073,,,,,,,,,,,
CAN,3.926786502,4.618312529,16.32614854,78.10100167,24.87124757,,,,,,,,,,,
ETH,3.419246061,1.765451487,11.58212718,2.019816886,16.76682472,,,,,,,,,,,
UZB,3.207445435,3.990852757,7.918082032,12.13212703,15.11638022,,,,,,,,,,,
SWE,3.0387832,4.09025058,4.588560368,30.55049582,11.71759415,,,,,,,,,,,
SLO,2.981421882,0.63486119,9.587149078,13.4820569,13.20343215,,,,,,,,,,,
LTU,2.882470393,0.061594853,8.383598887,10.61600989,11.32766413,,,,,,,,,,,
DEN,2.730414405,2.825270483,11.10746744,26.28255483,16.66315232,,,,,,,,,,,
ROU,2.345041792,1.45572549,3.964751879,33.94521477,7.765519161,,,,,,,,,,,
IND,2.257846956,0,3.833186082,19.36232127,6.091033038,,,,,,,,,,,
GRE,2.18106,0.327582535,9.442357807,20.77254006,11.95100034,,,,,,,,,,,
COL,2.140851512,1.452488551,7.1012726,28.14728654,10.69461266,,,,,,,,,,,
UKR,2.056765263,6.262794849,7.457008577,80.91443157,15.77656869,,,,,,,,,,,
BLR,2.018551767,4.36212,6.452641269,42.28730217,12.83331304,,,,,,,,,,,
CRO,1.906658756,0.982315498,8.650958987,16.38053823,11.53993324,,,,,,,,,,,
BEL,1.82313843,1.49947875,3.310867501,28.27323722,6.633484681,,,,,,,,,,,
CZE,1.804406191,1.753207545,5.058939858,37.11530496,8.616553594,,,,,,,,,,,
SRB,1.681450018,4.54786071,1.09053,22.72894781,7.319840728,,,,,,,,,,,
NOR,1.677291937,0.266812763,4.576623397,12.70580703,6.520728097,,,,,,,,,,,
SVK,1.578742168,2.589168724,5.90713885,13.25605483,10.07504974,,,,,,,,,,,
IRL,1.576891479,2.116261717,10.18478633,10.53591739,13.87793953,,,,,,,,,,,
GEO,1.561426763,4.133776221,4.364765545,5.105445992,10.05996853,,,,,,,,,,,
TJK,1.3819286,0.259276659,0.452185939,2.614331378,2.093391198,,,,,,,,,,,
POL,1.377179843,2.58713567,10.08025838,60.37546541,14.04457389,,,,,,,,,,,
TUR,1.341868247,2.18106,3.979735188,30.44116962,7.502663435,,,,,,,,,,,
ARG,1.321470884,1.09053,5.990826067,19.59401972,8.402826951,,,,,,,,,,,
TUN,1.198960372,1.410841145,5.654033194,10.14970347,8.263834711,,,,,,,,,,,
RSA,1.09053,6.335598451,6.109310757,24.56918525,13.53543921,,,,,,,,,,,
BRN,1.09053,1.498638724,4.465847443,1.18322749,7.055016167,,,,,,,,,,,
LAT,1.079607122,0.389177388,2.191678363,13.62508262,3.660462873,,,,,,,,,,,
EGY,0.933660341,0,11.95620011,22.17697539,12.88986045,,,,,,,,,,,
ZIM,0.828740461,0,0,2.262639658,0.828740461,,,,,,,,,,,
DOM,0.758953844,0,2.558492343,4.195041514,3.317446187,,,,,,,,,,,
TPE,0.716974231,1.293967719,2.242171987,13.49843995,4.253113936,,,,,,,,,,,
EST,0.701461123,0.000662659,4.570470246,6.910630962,5.272594028,,,,,,,,,,,
MDA,0.691586703,0,1.61084905,4.975219532,2.302435754,,,,,,,,,,,
NZL,0.600621631,6.617265945,8.146074403,29.39030906,15.36396198,,,,,,,,,,,
POR,0.470053359,0,4.022187134,27.9791807,4.492240493,,,,,,,,,,,
GUA,0.465795667,0,0,7.916491203,0.465795667,,,,,,,,,,,
GRN,0.463687356,0,1.880213435,0.98491216,2.343900791,,,,,,,,,,,
UGA,0.463687356,0,0,5.899895839,0.463687356,,,,,,,,,,,
PUR,0.436251081,0.408108724,6.405769766,3.135263177,7.250129571,,,,,,,,,,,
CYP,0.421675581,0,0.470053359,3.192825791,0.891728939,,,,,,,,,,,
VEN,0.404062838,0,5.724410113,19.84248403,6.128472952,,,,,,,,,,,
MGL,0.387435393,0.421747586,4.110088333,5.08591618,4.919271313,,,,,,,,,,,
SUI,0.358018121,2.702938148,4.786342324,26.34229432,7.847298594,,,,,,,,,,,
BUL,0.335795322,0,5.666434682,13.48866162,6.002230004,,,,,,,,,,,
PAN,0.266812763,0,1.292817004,1.139309104,1.559629766,,,,,,,,,,,
SUD,0.266812763,0,1.292817004,0.699527885,1.559629766,,,,,,,,,,,
MAS,0.263613869,0.408108724,5.170586947,8.214337055,5.84230954,,,,,,,,,,,
QAT,0.000657402,1.410160076,0.46792331,3.47771587,1.878740789,,,,,,,,,,,
KUW,0.000657402,0,2.116243308,1.297064181,2.11690071,,,,,,,,,,,
ARM,0,3.679698179,2.149643097,8.022076201,5.829341277,,,,,,,,,,,
FIN,0,0.88959889,2.598409134,20.27230998,3.488008025,,,,,,,,,,,
SYR,0,0.470053359,0,3.091465975,0.470053359,,,,,,,,,,,
ALG,0,0.463687356,2.262630818,7.127840439,2.726318174,,,,,,,,,,,
URU,0,0.435375119,1.64552729,2.133017985,2.080902409,,,,,,,,,,,
HKG,0,0.432871696,2.228781127,14.72399456,2.661652823,,,,,,,,,,,
TOG,0,0.276645991,0,1.937022955,0.276645991,,,,,,,,,,,
NGR,0,0.232934433,1.019970049,12.85700815,1.252904482,,,,,,,,,,,
ECU,0,0,6.985346462,6.155948119,6.985346462,,,,,,,,,,,
VIE,0,0,4.09792545,4.532833439,4.09792545,,,,,,,,,,,
PER,0,0,3.878451011,2.393333214,3.878451011,,,,,,,,,,,
ISL,0,0,3.761789007,3.583252638,3.761789007,,,,,,,,,,,
AUT,0,0,3.612764781,23.31470624,3.612764781,,,,,,,,,,,
SGP,0,0,3.210977929,8.721745324,3.210977929,,,,,,,,,,,
MAR,0,0,2.343469795,16.28260207,2.343469795,,,,,,,,,,,
JOR,0,0,2.267967518,0.665584775,2.267967518,,,,,,,,,,,
KGZ,0,0,2.213940511,3.016068786,2.213940511,,,,,,,,,,,
PHI,0,0,1.871620259,2.213869736,1.871620259,,,,,,,,,,,
CHI,0,0,1.737742611,11.88571313,1.737742611,,,,,,,,,,,
MDV,0,0,1.64552729,0.431032029,1.64552729,,,,,,,,,,,
MLT,0,0,1.64552729,0.244663386,1.64552729,,,,,,,,,,,
SEY,0,0,1.64552729,0.539234611,1.64552729,,,,,,,,,,,
CMR,0,0,1.619040715,3.064491741,1.619040715,,,,,,,,,,,
BAR,0,0,1.410160076,1.614633541,1.410160076,,,,,,,,,,,
HAI,0,0,1.410160076,0.576574064,1.410160076,,,,,,,,,,,
CGO,0,0,1.292817004,1.529759278,1.292817004,,,,,,,,,,,
LAO,0,0,1.292817004,0,1.292817004,,,,,,,,,,,
ALB,0,0,1.175473931,2.394638838,1.175473931,,,,,,,,,,,
AND,0,0,1.175473931,0.377585938,1.175473931,,,,,,,,,,,
ZAM,0,0,1.166199687,1.223434373,1.166199687,,,,,,,,,,,
CAY,0,0,1.058130859,1.413417466,1.058130859,,,,,,,,,,,
BIZ,0,0,0.940106718,0.331910678,0.940106718,,,,,,,,,,,
COD,0,0,0.940106718,0.539234611,0.940106718,,,,,,,,,,,
DJI,0,0,0.940106718,0.754462184,0.940106718,,,,,,,,,,,
GEQ,0,0,0.940106718,0,0.940106718,,,,,,,,,,,
GUI,0,0,0.940106718,0.655340832,0.940106718,,,,,,,,,,,
GUY,0,0,0.940106718,1.035252563,0.940106718,,,,,,,,,,,
ISR,0,0,0.940106718,16.11856346,0.940106718,,,,,,,,,,,
MAW,0,0,0.940106718,0.323430154,0.940106718,,,,,,,,,,,
MKD,0,0,0.940106718,0.646860309,0.940106718,,,,,,,,,,,
MTN,0,0,0.940106718,0,0.940106718,,,,,,,,,,,
MYA,0,0,0.940106718,1.436115448,0.940106718,,,,,,,,,,,
NCA,0,0,0.940106718,1.154572618,0.940106718,,,,,,,,,,,
NIG,0,0,0.940106718,1.159387686,0.940106718,,,,,,,,,,,
PLW,0,0,0.940106718,0.955729207,0.940106718,,,,,,,,,,,
UAE,0,0,0.940106718,2.131480065,0.940106718,,,,,,,,,,,
VAN,0,0,0.940106718,1.193974736,0.940106718,,,,,,,,,,,
MRI,0,0,0.931513542,2.532746621,0.931513542,,,,,,,,,,,
ISV,0,0,0.922655769,2.481950745,0.922655769,,,,,,,,,,,
CRC,0,0,0.870750238,3.300706873,0.870750238,,,,,,,,,,,
LIB,0,0,0.822763645,2.900776673,0.822763645,,,,,,,,,,,
