NOC,Gold,Silver,Bronze,Medal
USA,17.45728291,4.041666667,13.08333333,34.58228291
CHN,14.11666667,4.722222222,13.33333333,32.17222222
GBR,11.5,5.25,8.095833333,24.84583333
UKR,5.5,1,3,9.5
FRA,5.333333333,3.833333333,4.75,13.91666667
AUS,5.321428571,2.375,7.113782051,14.81021062
RUS,4.75,7.333333333,9.166666667,21.25
HUN,4.5,2.25,3,9.75
NZL,4.5,2,3.466666667,9.966666667
CUB,4,3,2,9
CZE,4,1,2,7
NED,3.5,1.376470588,5.833333333,10.70980392
GER,3.402777778,5.5,8.5,17.40277778
KOR,3.25,1.333333333,4,8.583333333
ITA,3.166666667,2.730769231,7.5,13.3974359
JPN,3,2.944444444,5.833333333,11.77777778
KAZ,3,0,0,3
JAM,2.4,0,1.8,4.2
BLR,2,2.5,3,7.5
IRI,2,1,0,3
SUI,2,1,0,3
TUR,2,0,1,3
NOR,1.642857143,0,0,1.642857143
BRA,1.5,1.222222222,5.5,8.222222222
ESP,1,3.5,2.375,6.875
CAN,1,3.111111111,8.611111111,12.72222222
ROU,1,2,1.2,4.2
SWE,1,2,1,4
DEN,1,2,0.5,3.5
POL,1,1,4,6
SLO,1,1,2,4
ETH,1,0,3,4
KEN,1,0,2,3
UZB,1,0,2,3
LTU,1,0,1,2
PRK,1,0,1,2
RSA,1,0,1,2
LAT,1,0,0.5,1.5
DOM,1,0,0,1
VEN,1,0,0,1
BAH,0.75,0,0,0.75
CRO,0.615384615,0,0.533333333,1.148717949
COL,0,2,2,4
AZE,0,2,1,3
IND,0,1,3,4
SVK,0,1,3,4
ARM,0,1,1,2
INA,0,1,1,2
IRL,0,1,1,2
MGL,0,1,1,2
TUN,0,1,1,2
FIN,0,1,0.333333333,1.333333333
BUL,0,1,0,1
CYP,0,1,0,1
EGY,0,1,0,1
POR,0,0.5,0,0.5
TTO,0,0.5,0,0.5
ARG,0,0.266666667,1,1.266666667
MEX,0,0,3,3
SGP,0,0,1.666666667,1.666666667
GRE,0,0,1.5,1.5
AFG,0,0,1,1
BEL,0,0,1,1
BRN,0,0,1,1
EST,0,0,1,1
GEO,0,0,1,1
MAR,0,0,1,1
MAS,0,0,1,1
PUR,0,0,1,1
QAT,0,0,1,1
KSA,0,0,0.75,0.75
SRB,0,0,0.538461538,0.538461538
ALB,0,0,0,0
ALG,0,0,0,0
AND,0,0,0,0
ANG,0,0,0,0
ANT,0,0,0,0
AUT,0,0,0,0
BAR,0,0,0,0
BDI,0,0,0,0
BEN,0,0,0,0
BER,0,0,0,0
BIH,0,0,0,0
BOT,0,0,0,0
CAF,0,0,0,0
CAM,0,0,0,0
CAY,0,0,0,0
CGO,0,0,0,0
CHA,0,0,0,0
CHI,0,0,0,0
CIV,0,0,0,0
CMR,0,0,0,0
COM,0,0,0,0
CRC,0,0,0,0
DMA,0,0,0,0
ECU,0,0,0,0
ERI,0,0,0,0
ESA,0,0,0,0
FIJ,0,0,0,0
FSM,0,0,0,0
GAB,0,0,0,0
GAM,0,0,0,0
GBS,0,0,0,0
GHA,0,0,0,0
GRN,0,0,0,0
GUA,0,0,0,0
GUM,0,0,0,0
GUY,0,0,0,0
HKG,0,0,0,0
HON,0,0,0,0
IRQ,0,0,0,0
ISL,0,0,0,0
ISR,0,0,0,0
ISV,0,0,0,0
IVB,0,0,0,0
JOR,0,0,0,0
KGZ,0,0,0,0
KIR,0,0,0,0
KUW,0,0,0,0
LBA,0,0,0,0
LBR,0,0,0,0
LCA,0,0,0,0
LES,0,0,0,0
LIB,0,0,0,0
LIE,0,0,0,0
LUX,0,0,0,0
MDA,0,0,0,0
MHL,0,0,0,0
MLI,0,0,0,0
MLT,0,0,0,0
MNE,0,0,0,0
MON,0,0,0,0
MOZ,0,0,0,0
MRI,0,0,0,0
MYA,0,0,0,0
NAM,0,0,0,0
NCA,0,0,0,0
NEP,0,0,0,0
NGR,0,0,0,0
NRU,0,0,0,0
PAK,0,0,0,0
PAN,0,0,0,0
PAR,0,0,0,0
PER,0,0,0,0
PHI,0,0,0,0
PNG,0,0,0,0
RWA,0,0,0,0
SAM,0,0,0,0
SEN,0,0,0,0
SOL,0,0,0,0
SRI,0,0,0,0
SUD,0,0,0,0
SUR,0,0,0,0
SWZ,0,0,0,0
SYR,0,0,0,0
TAN,0,0,0,0
TGA,0,0,0,0
THA,0,0,0,0
TJK,0,0,0,0
TKM,0,0,0,0
TOG,0,0,0,0
TPE,0,0,0,0
TUV,0,0,0,0
UAE,0,0,0,0
UGA,0,0,0,0
URU,0,0,0,0
VIE,0,0,0,0
VIN,0,0,0,0
YEM,0,0,0,0
ZAM,0,0,0,0
ZIM,0,0,0,0
