a,b,output
0.0,0.0,3.375021619569365
0.0,0.04,3.3751824345835
0.0,0.08,3.375183485700799
0.0,0.12,3.375084278254834
0.0,0.16,3.3756514393959325
0.0,0.2,3.3767007633134885
0.04,0.0,3.3756872765396366
0.04,0.04,3.3758357252581193
0.04,0.08,3.3753189946595366
0.04,0.12,3.3755258670832813
0.04,0.16,3.3753250025774473
0.04,0.2,3.375319989919216
0.08,0.0,3.375657921993754
0.08,0.04,3.3753188887541508
0.08,0.08,3.375319253693848
0.08,0.12,3.3753190355817293
0.08,0.16,3.375319695302563
0.08,0.2,3.3753199542699672
0.12,0.0,3.375319093617371
0.12,0.04,3.375319070753904
0.12,0.08,3.3753192539707704
0.12,0.12,3.3753194158133932
0.12,0.16,3.3753192292469296
0.12,0.2,3.375319895679015
0.16,0.0,3.375318918634313
0.16,0.04,3.3753190712982697
0.16,0.08,3.375318912169472
0.16,0.12,3.3753194274890426
0.16,0.16,3.3753192038017983
0.16,0.2,3.375319894193652
0.2,0.0,3.3753189329697295
0.2,0.04,3.375318970736148
0.2,0.08,3.375319139657332
0.2,0.12,3.37531934048177
0.2,0.16,3.3753195709186996
0.2,0.2,3.3753893197315006
0.24,0.0,3.3753483521622134
0.24,0.04,3.3753199183445304
0.24,0.08,3.3753190558212083
0.24,0.12,3.3753187124329087
0.24,0.16,3.375319459705477
0.24,0.2,3.375319696599528
0.28,0.0,3.375325676049781
0.28,0.04,3.3753190703823392
0.28,0.08,3.375319261660097
0.28,0.12,3.3753194707119687
0.28,0.16,3.3753196854644023
0.28,0.2,3.3753199185831195
0.32,0.0,3.3753188607225852
0.32,0.04,3.3753190737290253
0.32,0.08,3.375436383582585
0.32,0.12,3.3753189923059175
0.32,0.16,3.375319179478049
0.32,0.2,3.3753199353802734
0.36,0.0,3.3753190042576544
0.36,0.04,3.3753191253684403
0.36,0.08,3.3753189559438073
0.36,0.12,3.3753194458553346
0.36,0.16,3.3753196772584437
0.36,0.2,3.3754726122709333
0.4,0.0,3.375355248925672
0.4,0.04,3.3753190757708427
0.4,0.08,3.375319255048288
0.4,0.12,3.3753189197426448
0.4,0.16,3.375319203085325
0.4,0.2,3.3753199378031593
