Name,NOC,Sport,Event,Gold,Silver,Bronze,NoMedal
Alex Silva,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01492733203062381
Alex Silva,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.006373267346924764
Alexandre Silva,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01492733203062381
Alexandre Silva,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.006373267346924764
Bruno Bortolana,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Danilo Silva,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Gabriel Ferreira,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Givanildo Souza,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Juan Jesus,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Leandro Santos,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Lucas Silva,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Marcelo Jnior,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01492733203062381
Marcelo Jnior,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.006373267346924764
Neymar Jnior,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Norberto Neto,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Oscar Jnior,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Paulo Lima,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Rafael Silva,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Rmulo Monteiro,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Sandro Cordeiro,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01390858767485911
Thiago Silva,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.01492733203062381
Thiago Silva,BRA,Football,Football Men's Football,0.0,0.0,0.0,0.006373267346924764
Brittany (-baxter),CAN,Football,Football Women's Football,0.0,0.0,0.0,0.006476037358552339
Candace Chapman,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.006476037358552339
Carmelina Moscato,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.014098035806700264
Chelsea Stewart,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.014098035806700264
Christine Sinclair,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.006476037358552339
Desiree Scott,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.014098035806700264
Diana Matheson,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.006476037358552339
Erin Mcleod,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.006476037358552339
Jonelle Filigno,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.006476037358552339
Karina Leblanc,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.006476037358552339
Kaylyn Kyle,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.014098035806700264
